Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.6492718446601942,0
race,African-American,0.5244169096209912,0
race,Other,0.4351851851851852,0
race,Hispanic,0.625,0
sex,male,0.5578995921538163,0
sex,female,0.6840277777777778,0
race,Hispanic,0.5566666666666666,1
race,Other,0.6484375,1
race,African-American,0.5418997107039537,1
race,Caucasian,0.5412032355915066,1
sex,male,0.5342160768689945,1
sex,female,0.6533816425120772,1
race,African-American,0.6318471337579619,2
race,Hispanic,0.020000000000000018,2
race,Other,0.5869565217391304,2
race,Caucasian,0.6583673469387755,2
sex,male,0.6455347821960711,2
sex,female,0.5778985507246377,2
race,African-American,0.5478531073446327,3
race,Other,0.6904761904761905,3
race,Caucasian,0.5611679454390452,3
race,Hispanic,0.16666666666666669,3
sex,male,0.5453296703296704,3
sex,female,0.6720867208672087,3
race,Hispanic,0.753623188405797,4
race,African-American,0.5368027602070155,4
race,Caucasian,0.5221043324491601,4
race,Other,0.7884615384615384,4
sex,male,0.556773424543947,4
sex,female,0.49375,4
