Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.6967753120665743,0
race,African-American,0.5417881438289601,0
race,Other,0.5185185185185185,0
race,Hispanic,0.5486111111111112,0
sex,male,0.5882938434647503,0
sex,female,0.6927083333333334,0
race,Hispanic,0.64,1
race,Other,0.609375,1
race,African-American,0.6100289296046287,1
race,Caucasian,0.5022750252780587,1
sex,male,0.5985235528474339,1
sex,female,0.4939613526570048,1
race,African-American,0.6916135881104034,2
race,Hispanic,0.8,2
race,Other,0.41304347826086957,2
race,Caucasian,0.6338775510204081,2
sex,male,0.6769241719654551,2
sex,female,0.693840579710145,2
race,African-American,0.620677966101695,3
race,Other,0.619047619047619,3
race,Caucasian,0.49296675191815853,3
race,Hispanic,0.047619047619047616,3
sex,male,0.579400991165697,3
sex,female,0.6111111111111112,3
race,Hispanic,0.6884057971014492,4
race,African-American,0.6012075905692927,4
race,Caucasian,0.5760389036251106,4
race,Other,0.782051282051282,4
sex,male,0.5804311774461028,4
sex,female,0.7462500000000001,4
