Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.6213592233009709,0
race,African-American,0.6151603498542274,0
race,Other,0.5,0
race,Hispanic,0.5833333333333334,0
sex,male,0.6051660516605165,0
sex,female,0.6631944444444444,0
race,Hispanic,0.6133333333333333,1
race,Other,0.71875,1
race,African-American,0.5754098360655738,1
race,Caucasian,0.6238624873609706,1
sex,male,0.5821888914928521,1
sex,female,0.681159420289855,1
race,African-American,0.663375796178344,2
race,Hispanic,0.16000000000000003,2
race,Other,0.5434782608695652,2
race,Caucasian,0.5730612244897959,2
sex,male,0.6476226629970581,2
sex,female,0.5507246376811594,2
race,African-American,0.6355932203389829,3
race,Other,0.7142857142857142,3
race,Caucasian,0.5694799658994032,3
race,Hispanic,0.33333333333333337,3
sex,male,0.6166235725059255,3
sex,female,0.7018970189701896,3
race,Hispanic,0.6956521739130435,4
race,African-American,0.6033352501437608,4
race,Caucasian,0.6551724137931034,4
race,Other,0.858974358974359,4
sex,male,0.6239116915422886,4
sex,female,0.69,4
