Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.4817470664928292,0
race,African-American,0.5920077972709551,0
race,Other,0.5555555555555556,0
race,Hispanic,0.5,0
sex,male,0.5590243090243091,0
sex,female,0.5482456140350878,0
race,Hispanic,0.7592592592592592,1
race,Other,0.59375,1
race,African-American,0.5711897464474784,1
race,Caucasian,0.5788497217068646,1
sex,male,0.5827272727272728,1
sex,female,0.6632653061224489,1
race,African-American,0.6744663382594418,3
race,Other,0.8125,3
race,Caucasian,0.5872252747252747,3
race,Hispanic,0.33333333333333337,3
sex,male,0.6284385113268609,3
sex,female,0.8205980066445183,3
race,Hispanic,0.47916666666666663,4
race,African-American,0.5403431289281468,4
race,Caucasian,0.6654970760233918,4
race,Other,0.8833333333333334,4
sex,male,0.5807130927311016,4
sex,female,0.7083333333333333,4
