Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.718018018018018,0
race,African-American,0.5590379008746356,0
race,Other,0.75,0
race,Hispanic,0.8157894736842105,0
sex,male,0.6257607013924703,0
sex,female,0.821875,0
race,Hispanic,0.5933333333333334,1
race,Other,0.8039215686274509,1
race,African-American,0.6284371327849588,1
race,Caucasian,0.6739766081871343,1
sex,male,0.6461188481384897,1
sex,female,0.6205357142857143,1
race,African-American,0.664079822616408,2
race,Hispanic,0.18,2
race,Other,0.5378787878787878,2
race,Caucasian,0.692857142857143,2
sex,male,0.6815300896286812,2
sex,female,0.6178977272727273,2
race,African-American,0.5435714285714286,3
race,Other,0.6730769230769231,3
race,Caucasian,0.4816285998013903,3
race,Hispanic,0.5714285714285714,3
sex,male,0.5489983477901694,3
sex,female,0.5108695652173914,3
race,Hispanic,0.7318840579710145,4
race,African-American,0.527926322043969,4
race,Caucasian,0.6050857843137255,4
race,Other,0.625,4
sex,male,0.5456553755522828,4
sex,female,0.7083333333333334,4
