Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7653153153153153,0
race,African-American,0.6010689990281826,0
race,Other,0.6842105263157895,0
race,Hispanic,0.9298245614035088,0
sex,male,0.6640536358947912,0
sex,female,0.7625,0
race,Hispanic,0.7466666666666667,1
race,Other,0.7843137254901961,1
race,African-American,0.6574618096357228,1
race,Caucasian,0.7695906432748538,1
sex,male,0.6946679243189258,1
sex,female,0.7172619047619048,1
race,African-American,0.6874999999999999,2
race,Hispanic,0.07999999999999996,2
race,Other,0.5606060606060606,2
race,Caucasian,0.6873015873015873,2
sex,male,0.6977592829705505,2
sex,female,0.6676136363636364,2
race,African-American,0.6007692307692307,3
race,Other,0.5384615384615383,3
race,Caucasian,0.500496524329692,3
race,Hispanic,0.5714285714285714,3
sex,male,0.5861730689797605,3
sex,female,0.5271739130434783,3
race,Hispanic,0.7391304347826086,4
race,African-American,0.5827391562685681,4
race,Caucasian,0.673406862745098,4
race,Other,0.5,4
sex,male,0.5783014236622483,4
sex,female,0.7857142857142858,4
