Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.6611351611351611,0
race,African-American,0.6534081104400344,0
race,Other,0.44897959183673464,0
race,Hispanic,0.5089285714285714,0
sex,male,0.6478737541528239,0
sex,female,0.6842105263157895,0
race,Hispanic,0.6752136752136753,1
race,Other,0.6161616161616161,1
race,African-American,0.6818659067046648,1
race,Caucasian,0.6734972677595628,1
sex,male,0.6641389085754783,1
sex,female,0.7128571428571429,1
race,African-American,0.6829497016197785,2
race,Hispanic,0.6000000000000001,2
race,Other,0.5902777777777777,2
race,Caucasian,0.6745205479452056,2
sex,male,0.6751916376306621,2
sex,female,0.7333333333333332,2
race,African-American,0.6629924953095685,3
race,Other,0.45833333333333337,3
race,Caucasian,0.5343165059557572,3
race,Hispanic,0.75,3
sex,male,0.6217421847558834,3
sex,female,0.6914285714285715,3
race,Hispanic,0.6181818181818182,4
race,African-American,0.6119845067213489,4
race,Caucasian,0.7333333333333333,4
race,Other,0.7840909090909092,4
sex,male,0.6378800675675675,4
sex,female,0.7183333333333333,4
