Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5966981132075472,1
race,Hispanic,0.4210526315789474,1
race,Caucasian,0.5858503401360544,1
race,Other,0.376984126984127,1
sex,male,0.5780836512355225,1
sex,female,0.6209677419354839,1
race,Other,0.7222222222222222,2
race,Caucasian,0.6441734417344174,2
race,African-American,0.6195054945054945,2
race,Hispanic,0.6235294117647059,2
sex,male,0.6522077004592017,2
sex,female,0.5441441441441441,2
race,African-American,0.5968174068360802,3
race,Other,0.46590909090909083,3
race,Caucasian,0.6267188240872452,3
race,Hispanic,0.6499999999999999,3
sex,male,0.5913568643831801,3
sex,female,0.6890624999999999,3
race,African-American,0.6708416433984843,4
race,Caucasian,0.5578337104072398,4
race,Hispanic,0.7916666666666666,4
race,Other,0.47500000000000003,4
sex,male,0.6314633098754419,4
sex,female,0.7056650246305418,4
race,Caucasian,0.6984126984126985,5
race,African-American,0.626088850174216,5
race,Hispanic,0.6027777777777777,5
race,Other,0.71875,5
sex,male,0.6354774774774774,5
sex,female,0.7561983471074379,5
