Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7640156453715776,0
race,African-American,0.6781712236665173,0
race,Other,0.75,0
race,Hispanic,0.8571428571428572,0
sex,male,0.7334249084249084,0
sex,female,0.5609756097560975,0
race,Hispanic,0.8148148148148148,1
race,Other,1.0,1
race,African-American,0.7170057381324988,1
race,Caucasian,0.8506493506493507,1
sex,male,0.7926541615185893,1
sex,female,0.7040816326530612,1
race,Hispanic,0.96,4
race,African-American,0.7115162037037037,4
race,Caucasian,0.6442307692307692,4
race,Other,0.3529411764705882,4
sex,male,0.6746875,4
sex,female,0.7619047619047619,4
