Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.06215228482195868,0
race,Caucasian,1,0.07481856343352906,0
race,African-American,0,0.0858509283818162,0
race,African-American,1,0.10275761806312293,0
race,Other,0,0.06797357195546333,0
race,Other,1,0.07582515182675192,0
race,Hispanic,0,0.08138947813613964,0
race,Hispanic,1,0.14283588146575166,0
sex,male,0,0.0781155617415633,0
sex,male,1,0.09339141207338056,0
sex,female,0,0.06510719373589055,0
sex,female,1,0.1038893406247718,0
race,Hispanic,0,0.0657309160572665,1
race,Hispanic,1,0.07619499477920542,1
race,Other,0,0.06546068147226496,1
race,Other,1,0.08271528183219184,1
race,African-American,1,0.0854386895468686,1
race,African-American,0,0.07681841450179058,1
race,Caucasian,0,0.06509026196209246,1
race,Caucasian,1,0.07649177149883564,1
sex,male,0,0.07452360301566509,1
sex,male,1,0.08222618329207326,1
sex,female,0,0.057437227002180694,1
sex,female,1,0.08554181366777497,1
race,African-American,0,0.07601801236732163,2
race,African-American,1,0.09049562627638909,2
race,Hispanic,0,0.06385031218558242,2
race,Hispanic,1,0.03795307656038046,2
race,Other,0,0.06915725926765254,2
race,Other,1,0.07180969400860858,2
race,Caucasian,0,0.0641068368613944,2
race,Caucasian,1,0.07316402614414805,2
sex,male,0,0.07266592127594013,2
sex,male,1,0.08629086059850752,2
sex,female,1,0.06076002094783823,2
sex,female,0,0.059326759868806665,2
race,African-American,0,0.08735995827905739,3
race,African-American,1,0.10508900955363171,3
race,Other,1,0.07929388314123044,3
race,Other,0,0.06701656998785595,3
race,Caucasian,0,0.07674062702465972,3
race,Caucasian,1,0.08156923255993896,3
race,Hispanic,0,0.06987219991054595,3
race,Hispanic,1,0.052879258254871934,3
sex,male,0,0.08442726481065554,3
sex,male,1,0.09843399879664892,3
sex,female,0,0.06456491357441291,3
sex,female,1,0.08086575734073534,3
race,Hispanic,0,0.06936040321207262,4
race,Hispanic,1,0.08158559197609132,4
race,African-American,0,0.07746755463166807,4
race,African-American,1,0.08565925720842317,4
race,Caucasian,0,0.06656743789989412,4
race,Caucasian,1,0.07591213166449927,4
race,Other,1,0.10017022240137104,4
race,Other,0,0.062332522205661926,4
sex,male,0,0.07391792097637312,4
sex,male,1,0.08387521892403613,4
sex,female,0,0.06796184862581599,4
sex,female,1,0.08064628598787679,4
