Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,3.824,0
race,Caucasian,1,6.0,0
race,African-American,0,6.028846153846154,0
race,African-American,1,6.666666666666667,0
race,Other,0,4.9523809523809526,0
race,Hispanic,0,4.05,0
race,Hispanic,1,6.0,0
sex,male,0,5.209580838323354,0
sex,male,1,6.0,0
sex,female,0,4.425,0
sex,female,1,7.5,0
race,Hispanic,0,4.166666666666667,1
race,Hispanic,1,5.0,1
race,Other,0,4.25,1
race,African-American,0,5.608294930875576,1
race,African-American,1,6.928571428571429,1
race,Caucasian,0,4.298076923076923,1
race,Caucasian,1,4.0,1
sex,male,0,5.135220125786163,1
sex,male,1,6.111111111111111,1
sex,female,0,4.547169811320755,1
sex,female,1,6.0,1
race,African-American,0,5.961722488038277,2
race,African-American,1,7.25,2
race,Hispanic,0,4.8076923076923075,2
race,Other,0,3.8333333333333335,2
race,Other,1,1.0,2
race,Caucasian,0,4.341666666666667,2
race,Caucasian,1,5.666666666666667,2
sex,male,0,5.361702127659575,2
sex,male,1,6.5,2
sex,female,1,5.5,2
sex,female,0,4.4,2
race,African-American,0,6.095890410958904,3
race,African-American,1,7.75,3
race,Other,0,3.4375,3
race,Other,1,4.0,3
race,Caucasian,0,4.487804878048781,3
race,Caucasian,1,2.5,3
race,Hispanic,0,4.045454545454546,3
sex,male,0,5.387878787878788,3
sex,male,1,6.454545454545454,3
sex,female,0,5.06,3
race,Hispanic,0,4.153846153846154,4
race,African-American,0,5.63677130044843,4
race,African-American,1,6.444444444444445,4
race,Caucasian,0,4.2,4
race,Caucasian,1,5.25,4
race,Other,1,3.0,4
race,Other,0,4.166666666666667,4
sex,male,0,5.065015479876161,4
sex,male,1,5.764705882352941,4
sex,female,0,5.0,4
sex,female,1,5.0,4
