Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,3.1724137931034484,0
race,Caucasian,1,4.2,0
race,African-American,0,4.152284263959391,0
race,African-American,1,4.3,0
race,Other,0,3.4761904761904763,0
race,Hispanic,0,3.35,0
race,Hispanic,1,4.5,0
sex,male,0,3.8044871794871793,0
sex,male,1,4.228571428571429,0
sex,female,0,3.3095238095238093,0
sex,female,1,5.0,0
race,Hispanic,0,3.6206896551724137,1
race,Hispanic,1,3.0,1
race,Other,0,3.7,1
race,African-American,0,3.8221153846153846,1
race,African-American,1,3.9565217391304346,1
race,Caucasian,0,3.3092783505154637,1
race,Caucasian,1,3.6666666666666665,1
sex,male,0,3.7317880794701987,1
sex,male,1,3.8529411764705883,1
sex,female,0,3.230769230769231,1
sex,female,1,3.3333333333333335,1
race,African-American,0,3.9390862944162435,2
race,African-American,1,4.4,2
race,Hispanic,0,3.230769230769231,2
race,Other,0,3.4,2
race,Caucasian,0,3.1818181818181817,2
race,Caucasian,1,4.153846153846154,2
sex,male,0,3.732258064516129,2
sex,male,1,4.482758620689655,2
sex,female,1,3.0,2
sex,female,0,2.875,2
race,African-American,0,4.124378109452737,3
race,African-American,1,4.423076923076923,3
race,Other,1,5.0,3
race,Other,0,3.2,3
race,Caucasian,0,3.5217391304347827,3
race,Caucasian,1,3.7,3
race,Hispanic,0,3.5454545454545454,3
sex,male,0,3.9245901639344263,3
sex,male,1,4.194444444444445,3
sex,female,0,3.3958333333333335,3
sex,female,1,5.5,3
race,Hispanic,0,3.32,4
race,Hispanic,1,3.0,4
race,African-American,0,4.0,4
race,African-American,1,4.0,4
race,Caucasian,0,3.295238095238095,4
race,Caucasian,1,4.0,4
race,Other,1,4.5,4
race,Other,0,3.7058823529411766,4
sex,male,0,3.768253968253968,4
sex,male,1,3.88,4
sex,female,0,3.5,4
sex,female,1,4.75,4
