Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,3.1262135922330097,0
race,Caucasian,1,3.892857142857143,0
race,African-American,0,4.136904761904762,0
race,African-American,1,4.26530612244898,0
race,Other,0,3.5,0
race,Other,1,3.3333333333333335,0
race,Hispanic,0,3.388888888888889,0
race,Hispanic,1,3.75,0
sex,male,0,3.782287822878229,0
sex,male,1,4.078947368421052,0
sex,female,0,3.2222222222222223,0
sex,female,1,4.125,0
race,Hispanic,0,3.52,1
race,Hispanic,1,3.8333333333333335,1
race,Other,0,3.5625,1
race,Other,1,4.25,1
race,African-American,1,3.9836065573770494,1
race,African-American,0,3.7823529411764705,1
race,Caucasian,0,3.302325581395349,1
race,Caucasian,1,3.5217391304347827,1
sex,male,0,3.701195219123506,1
sex,male,1,3.8705882352941177,1
sex,female,0,3.108695652173913,1
sex,female,1,3.888888888888889,1
race,African-American,0,3.7961783439490446,2
race,African-American,1,4.466666666666667,2
race,Hispanic,0,3.32,2
race,Hispanic,1,1.0,2
race,Other,0,3.347826086956522,2
race,Other,1,4.0,2
race,Caucasian,0,3.122448979591837,2
race,Caucasian,1,3.92,2
sex,male,0,3.622568093385214,2
sex,male,1,4.341463414634147,2
sex,female,1,3.1666666666666665,2
sex,female,0,2.847826086956522,2
race,African-American,0,4.101694915254237,3
race,African-American,1,4.36,3
race,Other,1,4.333333333333333,3
race,Other,0,3.2142857142857144,3
race,Caucasian,0,3.480392156862745,3
race,Caucasian,1,3.782608695652174,3
race,Hispanic,0,3.619047619047619,3
race,Hispanic,1,2.0,3
sex,male,0,3.9047619047619047,3
sex,male,1,4.147058823529412,3
sex,female,0,3.317073170731707,3
sex,female,1,4.222222222222222,3
race,Hispanic,0,3.1739130434782608,4
race,Hispanic,1,4.333333333333333,4
race,African-American,0,3.9675675675675675,4
race,African-American,1,4.127659574468085,4
race,Caucasian,0,3.32183908045977,4
race,Caucasian,1,3.423076923076923,4
race,Other,1,4.666666666666667,4
race,Other,0,3.3846153846153846,4
sex,male,0,3.720149253731343,4
sex,male,1,3.986111111111111,4
sex,female,0,3.575,4
sex,female,1,3.7,4
