Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,2.884297520661157,0
race,Caucasian,1,4.6,0
race,African-American,0,3.533333333333333,0
race,African-American,1,4.318181818181818,0
race,Other,0,3.45,0
race,Other,1,4.0,0
race,Hispanic,0,3.4285714285714284,0
race,Hispanic,1,4.0,0
sex,male,0,3.281150159744409,0
sex,male,1,4.382352941176471,0
sex,female,0,3.4545454545454546,0
race,Hispanic,0,3.7241379310344827,1
race,Hispanic,1,3.0,1
race,Other,0,3.3333333333333335,1
race,Other,1,6.0,1
race,African-American,0,3.4413145539906105,1
race,African-American,1,4.055555555555555,1
race,Caucasian,0,3.0707070707070705,1
race,Caucasian,1,4.7,1
sex,male,0,3.3733766233766236,1
sex,male,1,4.357142857142857,1
sex,female,0,3.2549019607843137,1
sex,female,1,4.0,1
race,African-American,0,3.4895833333333335,2
race,African-American,1,4.56,2
race,Hispanic,0,3.0,2
race,Other,0,3.48,2
race,Caucasian,0,3.18348623853211,2
race,Caucasian,1,4.357142857142857,2
sex,male,0,3.4536423841059603,2
sex,male,1,4.594594594594595,2
sex,female,1,2.5,2
sex,female,0,2.78,2
race,African-American,0,3.5545023696682465,3
race,African-American,1,5.0625,3
race,Other,1,4.0,3
race,Other,0,2.75,3
race,Caucasian,0,3.236842105263158,3
race,Caucasian,1,4.818181818181818,3
race,Hispanic,0,3.3181818181818183,3
sex,male,0,3.410094637223975,3
sex,male,1,4.791666666666667,3
sex,female,0,3.369565217391304,3
sex,female,1,5.75,3
race,Hispanic,0,2.72,4
race,Hispanic,1,2.0,4
race,African-American,0,3.5924170616113744,4
race,African-American,1,4.0,4
race,Caucasian,0,3.295238095238095,4
race,Caucasian,1,4.5,4
race,Other,0,3.8823529411764706,4
race,Other,1,4.0,4
sex,male,0,3.4391025641025643,4
sex,male,1,4.071428571428571,4
sex,female,0,3.5869565217391304,4
sex,female,1,4.0,4
