Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,2.8264462809917354,0
race,Caucasian,1,4.6,0
race,African-American,0,4.753846153846154,0
race,African-American,1,4.7727272727272725,0
race,Other,0,3.95,0
race,Other,1,10.0,0
race,Hispanic,0,3.5238095238095237,0
race,Hispanic,1,9.0,0
sex,male,0,4.044728434504792,0
sex,male,1,5.0,0
sex,female,0,3.5454545454545454,0
race,Hispanic,0,3.206896551724138,1
race,Hispanic,1,6.0,1
race,Other,0,3.5,1
race,Other,1,6.5,1
race,African-American,0,4.375586854460094,1
race,African-American,1,4.777777777777778,1
race,Caucasian,0,3.1616161616161618,1
race,Caucasian,1,2.5,1
sex,male,0,4.0064935064935066,1
sex,male,1,4.607142857142857,1
sex,female,0,3.2745098039215685,1
sex,female,1,1.75,1
race,African-American,0,4.65625,2
race,African-American,1,6.56,2
race,Hispanic,0,3.730769230769231,2
race,Other,0,3.08,2
race,Caucasian,0,3.128440366972477,2
race,Caucasian,1,4.785714285714286,2
sex,male,0,4.208609271523179,2
sex,male,1,5.918918918918919,2
sex,female,1,6.0,2
sex,female,0,2.76,2
race,African-American,0,4.720379146919432,3
race,African-American,1,7.0625,3
race,Other,1,8.0,3
race,Other,0,3.1875,3
race,Caucasian,0,3.3157894736842106,3
race,Caucasian,1,4.0,3
race,Hispanic,0,2.8181818181818183,3
sex,male,0,4.233438485804417,3
sex,male,1,6.166666666666667,3
sex,female,0,3.152173913043478,3
sex,female,1,4.25,3
race,Hispanic,0,3.52,4
race,Hispanic,1,3.0,4
race,African-American,0,4.402843601895735,4
race,African-American,1,4.095238095238095,4
race,Caucasian,0,3.238095238095238,4
race,Caucasian,1,3.75,4
race,Other,0,3.2941176470588234,4
race,Other,1,5.0,4
sex,male,0,4.032051282051282,4
sex,male,1,4.035714285714286,4
sex,female,0,3.369565217391304,4
sex,female,1,4.0,4
