Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,3.2540983606557377,0
race,Caucasian,1,3.7777777777777777,0
race,African-American,0,4.112903225806452,0
race,African-American,1,4.483870967741935,0
race,Other,0,3.4761904761904763,0
race,Hispanic,0,3.3157894736842106,0
race,Hispanic,1,4.333333333333333,0
sex,male,0,3.8,0
sex,male,1,4.243243243243243,0
sex,female,0,3.1578947368421053,0
sex,female,1,4.833333333333333,0
race,Hispanic,0,3.586206896551724,1
race,Hispanic,1,3.5,1
race,Other,0,3.7222222222222223,1
race,Other,1,3.5,1
race,African-American,0,3.7626262626262625,1
race,African-American,1,4.2727272727272725,1
race,Caucasian,0,3.376237623762376,1
race,Caucasian,1,3.0,1
sex,male,0,3.707482993197279,1
sex,male,1,4.0,1
sex,female,0,3.2115384615384617,1
sex,female,1,3.6666666666666665,1
race,African-American,0,3.9289340101522843,2
race,African-American,1,4.5,2
race,Hispanic,0,3.28,2
race,Hispanic,1,2.0,2
race,Other,0,3.3636363636363638,2
race,Other,1,3.6666666666666665,2
race,Caucasian,0,3.3162393162393164,2
race,Caucasian,1,2.6666666666666665,2
sex,male,0,3.7714285714285714,2
sex,male,1,4.125,2
sex,female,1,3.3333333333333335,2
sex,female,0,2.8260869565217392,2
race,African-American,0,4.162679425837321,3
race,African-American,1,4.111111111111111,3
race,Other,0,3.4375,3
race,Other,1,3.0,3
race,Caucasian,0,3.58974358974359,3
race,Caucasian,1,2.75,3
race,Hispanic,0,3.5454545454545454,3
sex,male,0,3.9682539682539684,3
sex,male,1,3.769230769230769,3
sex,female,0,3.5306122448979593,3
sex,female,1,1.0,3
race,Hispanic,0,3.3076923076923075,4
race,African-American,0,3.9760765550239237,4
race,African-American,1,4.217391304347826,4
race,Caucasian,0,3.37,4
race,Caucasian,1,3.1538461538461537,4
race,Other,1,4.0,4
race,Other,0,3.7777777777777777,4
sex,male,0,3.7704918032786887,4
sex,male,1,3.8285714285714287,4
sex,female,1,4.0,4
sex,female,0,3.5833333333333335,4
