Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,3.1171171171171173,0
race,Caucasian,1,4.25,0
race,African-American,0,4.101190476190476,0
race,African-American,1,4.387755102040816,0
race,Other,0,3.3684210526315788,0
race,Other,1,4.5,0
race,Hispanic,0,3.263157894736842,0
race,Hispanic,1,4.666666666666667,0
sex,male,0,3.7220216606498195,0
sex,male,1,4.3428571428571425,0
sex,female,0,3.25,0
sex,female,1,4.75,0
race,Hispanic,0,3.48,1
race,Hispanic,1,4.0,1
race,Other,1,5.0,1
race,Other,0,3.4705882352941178,1
race,African-American,0,3.708108108108108,1
race,African-American,1,4.3478260869565215,1
race,Caucasian,0,3.188888888888889,1
race,Caucasian,1,4.105263157894737,1
sex,male,0,3.5947955390334574,1
sex,male,1,4.343283582089552,1
sex,female,0,3.1666666666666665,1
sex,female,1,3.7142857142857144,1
race,African-American,0,3.835227272727273,2
race,African-American,1,4.609756097560975,2
race,Hispanic,0,3.28,2
race,Hispanic,1,2.0,2
race,Other,0,3.3636363636363638,2
race,Other,1,3.6666666666666665,2
race,Caucasian,0,3.1333333333333333,2
race,Caucasian,1,4.166666666666667,2
sex,male,0,3.6514084507042255,2
sex,male,1,4.545454545454546,2
sex,female,1,3.375,2
sex,female,0,2.7954545454545454,2
race,African-American,0,4.1085714285714285,3
race,African-American,1,4.326923076923077,3
race,Other,1,4.25,3
race,Other,0,3.1538461538461537,3
race,Caucasian,0,3.547169811320755,3
race,Caucasian,1,3.473684210526316,3
race,Hispanic,0,3.5238095238095237,3
race,Hispanic,1,4.0,3
sex,male,0,3.903345724907063,3
sex,male,1,4.138888888888889,3
sex,female,0,3.4782608695652173,3
sex,female,1,3.5,3
race,Hispanic,0,3.1739130434782608,4
race,Hispanic,1,4.333333333333333,4
race,African-American,0,3.9797979797979797,4
race,African-American,1,4.117647058823529,4
race,Caucasian,0,3.2708333333333335,4
race,Caucasian,1,3.764705882352941,4
race,Other,1,4.333333333333333,4
race,Other,0,3.6875,4
sex,male,0,3.7422680412371134,4
sex,male,1,3.979591836734694,4
sex,female,1,4.375,4
sex,female,0,3.4523809523809526,4
