Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,3.6126126126126126,0
race,Caucasian,1,5.65,0
race,African-American,0,5.904761904761905,0
race,African-American,1,6.571428571428571,0
race,Other,0,4.7368421052631575,0
race,Other,1,7.0,0
race,Hispanic,0,4.105263157894737,0
race,Hispanic,1,5.0,0
sex,male,0,4.981949458483754,0
sex,male,1,6.257142857142857,0
sex,female,0,4.525,0
sex,female,1,6.5,0
race,Hispanic,0,3.88,1
race,Hispanic,1,5.5,1
race,Other,1,6.333333333333333,1
race,Other,0,3.8823529411764706,1
race,African-American,0,5.378378378378378,1
race,African-American,1,6.934782608695652,1
race,Caucasian,0,3.966666666666667,1
race,Caucasian,1,5.7894736842105265,1
sex,male,0,4.821561338289963,1
sex,male,1,6.656716417910448,1
sex,female,0,4.541666666666667,1
sex,female,1,5.0,1
race,African-American,0,5.579545454545454,2
race,African-American,1,7.853658536585366,2
race,Hispanic,0,4.84,2
race,Hispanic,1,4.0,2
race,Other,0,3.727272727272727,2
race,Other,1,3.6666666666666665,2
race,Caucasian,0,4.019047619047619,2
race,Caucasian,1,6.444444444444445,2
sex,male,0,5.042253521126761,2
sex,male,1,7.218181818181818,2
sex,female,1,7.0,2
sex,female,0,3.977272727272727,2
race,African-American,0,5.954285714285715,3
race,African-American,1,6.826923076923077,3
race,Other,1,3.5,3
race,Other,0,3.4615384615384617,3
race,Caucasian,0,4.462264150943396,3
race,Caucasian,1,4.421052631578948,3
race,Hispanic,0,4.142857142857143,3
race,Hispanic,1,2.0,3
sex,male,0,5.271375464684015,3
sex,male,1,5.986111111111111,3
sex,female,0,4.978260869565218,3
sex,female,1,6.0,3
race,Hispanic,0,3.8260869565217392,4
race,Hispanic,1,6.666666666666667,4
race,African-American,0,5.515151515151516,4
race,African-American,1,6.5588235294117645,4
race,Caucasian,0,3.9479166666666665,4
race,Caucasian,1,6.117647058823529,4
race,Other,1,3.6666666666666665,4
race,Other,0,4.1875,4
sex,male,0,4.9243986254295535,4
sex,male,1,6.142857142857143,4
sex,female,1,7.125,4
sex,female,0,4.595238095238095,4
