Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,2.850467289719626,0
race,Caucasian,1,3.4583333333333335,0
race,African-American,0,4.530864197530864,0
race,African-American,1,5.418181818181818,0
race,Other,0,3.9444444444444446,0
race,Other,1,6.0,0
race,Hispanic,0,3.55,0
race,Hispanic,1,6.0,0
sex,male,0,3.862453531598513,0
sex,male,1,5.089743589743589,0
sex,female,0,3.736842105263158,0
sex,female,1,2.3333333333333335,0
race,Hispanic,0,3.2,1
race,Hispanic,1,4.166666666666667,1
race,Other,0,3.6666666666666665,1
race,Other,1,4.2,1
race,African-American,0,4.153846153846154,1
race,African-American,1,5.346938775510204,1
race,Caucasian,0,3.023529411764706,1
race,Caucasian,1,3.375,1
sex,male,0,3.8625954198473282,1
sex,male,1,4.743243243243243,1
sex,female,0,3.022222222222222,1
sex,female,1,3.8,1
race,African-American,0,4.374233128834356,2
race,African-American,1,6.388888888888889,2
race,Hispanic,0,3.64,2
race,Hispanic,1,6.0,2
race,Other,0,3.1818181818181817,2
race,Other,1,2.3333333333333335,2
race,Caucasian,0,2.865979381443299,2
race,Caucasian,1,5.0,2
sex,male,0,3.945736434108527,2
sex,male,1,5.827160493827161,2
sex,female,1,5.333333333333333,2
sex,female,0,2.7346938775510203,2
race,African-American,0,4.52,3
race,African-American,1,6.115384615384615,3
race,Other,1,3.857142857142857,3
race,Other,0,3.2,3
race,Caucasian,0,3.230769230769231,3
race,Caucasian,1,4.095238095238095,3
race,Hispanic,0,3.0,3
race,Hispanic,1,1.6666666666666667,3
sex,male,0,4.078947368421052,3
sex,male,1,5.4,3
sex,female,0,3.119047619047619,3
sex,female,1,3.875,3
race,Hispanic,1,3.6,4
race,Hispanic,0,3.4761904761904763,4
race,African-American,0,4.290322580645161,4
race,African-American,1,4.717391304347826,4
race,Caucasian,0,2.870967741935484,4
race,Caucasian,1,5.15,4
race,Other,0,2.6666666666666665,4
race,Other,1,6.5,4
sex,male,1,4.895522388059701,4
sex,male,0,3.8205128205128207,4
sex,female,0,3.2142857142857144,4
sex,female,1,4.5,4
