Attribute,Attribute Value,Label,Expected Score,fold_num
race,Caucasian,0,0.0490821715998808,0
race,Caucasian,1,0.08658667809415227,0
race,African-American,0,0.07758679245793568,0
race,African-American,1,0.09650066076540487,0
race,Other,0,0.0629096581588508,0
race,Other,1,0.06517141157540624,0
race,Hispanic,0,0.06263801814681673,0
race,Hispanic,1,0.2211049205399337,0
sex,male,0,0.06784502098295987,0
sex,male,1,0.09394447567935163,0
sex,female,0,0.05146516591453322,0
sex,female,1,0.11594526486226324,0
race,Hispanic,0,0.06524470460809191,1
race,Hispanic,1,0.1197282252992139,1
race,Other,0,0.06180895918836375,1
race,Other,1,0.11484020592290708,1
race,African-American,0,0.07828862043227434,1
race,African-American,1,0.1121854255465885,1
race,Caucasian,0,0.058396643842164704,1
race,Caucasian,1,0.10858998361339435,1
sex,male,0,0.07436282460411955,1
sex,male,1,0.11618899115182936,1
sex,female,0,0.05083190226680801,1
sex,female,1,0.07978304946787494,1
race,African-American,0,0.06974476786789438,2
race,African-American,1,0.09966080201944391,2
race,Hispanic,0,0.04985139269975449,2
race,Hispanic,1,0.08505738549032571,2
race,Other,0,0.05740563047740481,2
race,Other,1,0.1293137914580104,2
race,Caucasian,0,0.05059877950091066,2
race,Caucasian,1,0.0933760912404917,2
sex,male,0,0.06371674367772694,2
sex,male,1,0.10052761514722142,2
sex,female,1,0.0465745380807247,2
sex,female,0,0.04789321618772085,2
race,African-American,0,0.08375582049922718,3
race,African-American,1,0.1410621617886622,3
race,Other,1,0.04593684309828342,3
race,Other,0,0.057975818743592714,3
race,Caucasian,0,0.06484561387299449,3
race,Caucasian,1,0.1307478983832374,3
race,Hispanic,0,0.055805179960112784,3
race,Hispanic,1,0.06194570181701622,3
sex,male,0,0.07878297211309598,3
sex,male,1,0.13389048983855342,3
sex,female,0,0.049642820351207755,3
sex,female,1,0.06831831853824322,3
race,Hispanic,1,0.0629814773980051,4
race,Hispanic,0,0.06500054895705665,4
race,African-American,0,0.08329599851138866,4
race,African-American,1,0.13075899216019093,4
race,Caucasian,0,0.06147145072519859,4
race,Caucasian,1,0.10036284059744449,4
race,Other,0,0.06352405420210022,4
race,Other,1,0.1282927930545817,4
sex,male,1,0.11217340722744873,4
sex,male,0,0.07722537439333564,4
sex,female,0,0.05822013743597164,4
sex,female,1,0.16682884078587001,4
