Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.1111111111111111,9,0
race,Caucasian,0.0,0.1,0.0,10,0
race,Other,0.0,0.1,,0,0
race,Native American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,0.0,4,0
race,Asian,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,0.0,1,1
race,African-American,0.0,0.1,0.0,3,1
race,Caucasian,0.0,0.1,0.0,8,1
race,Other,0.0,0.1,,0,1
race,Native American,0.0,0.1,0.0,1,1
race,Asian,0.0,0.1,,0,1
race,Other,0.0,0.1,0.0,5,2
race,African-American,0.0,0.1,0.15384615384615385,13,2
race,Caucasian,0.0,0.1,0.045454545454545456,22,2
race,Hispanic,0.0,0.1,0.0,3,2
race,African-American,0.0,0.1,0.11764705882352941,17,3
race,Other,0.0,0.1,0.0,3,3
race,Caucasian,0.0,0.1,0.10526315789473684,38,3
race,Hispanic,0.0,0.1,0.0,2,3
race,Asian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,0.0,1,4
race,African-American,0.0,0.1,0.05555555555555555,18,4
race,Caucasian,0.0,0.1,0.13333333333333333,30,4
race,Other,0.0,0.1,0.25,4,4
race,Native American,0.0,0.1,,0,4
race,Asian,0.0,0.1,0.0,1,4
race,African-American,0.1,0.2,0.1935483870967742,62,0
race,Caucasian,0.1,0.2,0.125,40,0
race,Other,0.1,0.2,0.0,6,0
race,Native American,0.1,0.2,0.0,1,0
race,Hispanic,0.1,0.2,0.16666666666666666,18,0
race,Asian,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.0,11,1
race,African-American,0.1,0.2,0.2028985507246377,69,1
race,Caucasian,0.1,0.2,0.18604651162790697,43,1
race,Other,0.1,0.2,0.0,9,1
race,Native American,0.1,0.2,0.0,1,1
race,Asian,0.1,0.2,,0,1
race,Other,0.1,0.2,0.42857142857142855,7,2
race,African-American,0.1,0.2,0.18461538461538463,65,2
race,Caucasian,0.1,0.2,0.17307692307692307,52,2
race,Hispanic,0.1,0.2,0.1,10,2
race,African-American,0.1,0.2,0.08064516129032258,62,3
race,Other,0.1,0.2,0.14285714285714285,7,3
race,Caucasian,0.1,0.2,0.2702702702702703,37,3
race,Hispanic,0.1,0.2,0.2222222222222222,9,3
race,Asian,0.1,0.2,0.0,1,3
race,Hispanic,0.1,0.2,0.1,10,4
race,African-American,0.1,0.2,0.125,64,4
race,Caucasian,0.1,0.2,0.24444444444444444,45,4
race,Other,0.1,0.2,0.0,4,4
race,Native American,0.1,0.2,,0,4
race,Asian,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.22764227642276422,123,0
race,Caucasian,0.2,0.3,0.22727272727272727,66,0
race,Other,0.2,0.3,0.2,5,0
race,Native American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.0,8,0
race,Asian,0.2,0.3,0.0,1,0
race,Hispanic,0.2,0.3,0.07142857142857142,14,1
race,African-American,0.2,0.3,0.25925925925925924,135,1
race,Caucasian,0.2,0.3,0.32142857142857145,56,1
race,Other,0.2,0.3,0.0,7,1
race,Native American,0.2,0.3,,0,1
race,Asian,0.2,0.3,0.0,2,1
race,Other,0.2,0.3,0.2,10,2
race,African-American,0.2,0.3,0.2920353982300885,113,2
race,Caucasian,0.2,0.3,0.2,40,2
race,Hispanic,0.2,0.3,0.18181818181818182,11,2
race,African-American,0.2,0.3,0.3046875,128,3
race,Other,0.2,0.3,0.18181818181818182,11,3
race,Caucasian,0.2,0.3,0.16666666666666666,42,3
race,Hispanic,0.2,0.3,0.14285714285714285,7,3
race,Asian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,0.18181818181818182,11,4
race,African-American,0.2,0.3,0.24347826086956523,115,4
race,Caucasian,0.2,0.3,0.3333333333333333,48,4
race,Other,0.2,0.3,0.4444444444444444,9,4
race,Native American,0.2,0.3,0.0,1,4
race,Asian,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Native American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Asian,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Native American,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Asian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Native American,0.3,0.4,,0,4
race,Asian,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Native American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Asian,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Native American,0.4,0.5,,0,1
race,Asian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Asian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Native American,0.4,0.5,,0,4
race,Asian,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.3,30,0
race,Caucasian,0.5,0.6,0.25,4,0
race,Other,0.5,0.6,1.0,1,0
race,Native American,0.5,0.6,,0,0
race,Hispanic,0.5,0.6,0.3333333333333333,3,0
race,Asian,0.5,0.6,,0,0
race,Hispanic,0.5,0.6,0.0,1,1
race,African-American,0.5,0.6,0.25,24,1
race,Caucasian,0.5,0.6,0.5,6,1
race,Other,0.5,0.6,,0,1
race,Native American,0.5,0.6,,0,1
race,Asian,0.5,0.6,,0,1
race,Other,0.5,0.6,0.5,2,2
race,African-American,0.5,0.6,0.32142857142857145,28,2
race,Caucasian,0.5,0.6,0.375,8,2
race,Hispanic,0.5,0.6,0.5,2,2
race,African-American,0.5,0.6,0.43478260869565216,23,3
race,Other,0.5,0.6,0.5,2,3
race,Caucasian,0.5,0.6,0.0,2,3
race,Hispanic,0.5,0.6,,0,3
race,Asian,0.5,0.6,,0,3
race,Hispanic,0.5,0.6,0.0,1,4
race,African-American,0.5,0.6,0.5652173913043478,23,4
race,Caucasian,0.5,0.6,0.5,4,4
race,Other,0.5,0.6,1.0,1,4
race,Native American,0.5,0.6,,0,4
race,Asian,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Native American,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Asian,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
