Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.02631578947368421,114,0
race,Caucasian,0.0,0.1,0.03278688524590164,61,0
race,Other,0.0,0.1,0.0,7,0
race,Native American,0.0,0.1,0.0,1,0
race,Hispanic,0.0,0.1,0.0,15,0
race,Asian,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,0.0,11,1
race,African-American,0.0,0.1,0.061068702290076333,131,1
race,Caucasian,0.0,0.1,0.03125,64,1
race,Other,0.0,0.1,0.0,8,1
race,Native American,0.0,0.1,0.0,1,1
race,Asian,0.0,0.1,,0,1
race,Other,0.0,0.1,0.06666666666666667,15,2
race,African-American,0.0,0.1,0.06349206349206349,126,2
race,Caucasian,0.0,0.1,0.04938271604938271,81,2
race,Hispanic,0.0,0.1,0.0,17,2
race,African-American,0.0,0.1,0.04672897196261682,107,3
race,Other,0.0,0.1,0.0,8,3
race,Caucasian,0.0,0.1,0.014705882352941176,68,3
race,Hispanic,0.0,0.1,0.07692307692307693,13,3
race,Asian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,0.0,13,4
race,African-American,0.0,0.1,0.06504065040650407,123,4
race,Caucasian,0.0,0.1,0.027777777777777776,72,4
race,Other,0.0,0.1,0.0,13,4
race,Native American,0.0,0.1,,0,4
race,Asian,0.0,0.1,0.0,1,4
race,African-American,0.1,0.2,0.12048192771084337,83,0
race,Caucasian,0.1,0.2,0.13636363636363635,44,0
race,Other,0.1,0.2,0.25,4,0
race,Native American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.0,14,0
race,Asian,0.1,0.2,0.0,1,0
race,Hispanic,0.1,0.2,0.07142857142857142,14,1
race,African-American,0.1,0.2,0.08974358974358974,78,1
race,Caucasian,0.1,0.2,0.19444444444444445,36,1
race,Other,0.1,0.2,0.0,7,1
race,Native American,0.1,0.2,0.0,1,1
race,Asian,0.1,0.2,0.0,2,1
race,Other,0.1,0.2,0.1111111111111111,9,2
race,African-American,0.1,0.2,0.15151515151515152,66,2
race,Caucasian,0.1,0.2,0.15151515151515152,33,2
race,Hispanic,0.1,0.2,0.16666666666666666,6,2
race,African-American,0.1,0.2,0.12380952380952381,105,3
race,Other,0.1,0.2,0.0,11,3
race,Caucasian,0.1,0.2,0.07142857142857142,42,3
race,Hispanic,0.1,0.2,0.0,5,3
race,Asian,0.1,0.2,0.0,1,3
race,Hispanic,0.1,0.2,0.1,10,4
race,African-American,0.1,0.2,0.13157894736842105,76,4
race,Caucasian,0.1,0.2,0.1875,48,4
race,Other,0.1,0.2,0.5,4,4
race,Native American,0.1,0.2,0.0,1,4
race,Asian,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.2222222222222222,27,0
race,Caucasian,0.2,0.3,0.2857142857142857,14,0
race,Other,0.2,0.3,0.0,1,0
race,Native American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.0,4,0
race,Asian,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,0.13636363636363635,22,1
race,Caucasian,0.2,0.3,0.46153846153846156,13,1
race,Other,0.2,0.3,0.0,1,1
race,Native American,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.18518518518518517,27,2
race,Caucasian,0.2,0.3,0.0,8,2
race,Hispanic,0.2,0.3,0.0,3,2
race,African-American,0.2,0.3,0.1111111111111111,18,3
race,Other,0.2,0.3,0.25,4,3
race,Caucasian,0.2,0.3,0.2222222222222222,9,3
race,Hispanic,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.19047619047619047,21,4
race,Caucasian,0.2,0.3,0.0,7,4
race,Other,0.2,0.3,0.0,1,4
race,Native American,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Native American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Asian,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Native American,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
