Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.08256880733944955,109,0
race,Caucasian,0.0,0.1,0.04225352112676056,71,0
race,Other,0.0,0.1,0.0,8,0
race,Native American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,0.0,26,0
race,Asian,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,0.0,22,1
race,African-American,0.0,0.1,0.06944444444444445,144,1
race,Caucasian,0.0,0.1,0.027777777777777776,72,1
race,Other,0.0,0.1,0.0,10,1
race,Native American,0.0,0.1,,0,1
race,Asian,0.0,0.1,0.0,2,1
race,Other,0.0,0.1,0.13333333333333333,15,2
race,African-American,0.0,0.1,0.06382978723404255,94,2
race,Caucasian,0.0,0.1,0.014084507042253521,71,2
race,Hispanic,0.0,0.1,0.07142857142857142,14,2
race,African-American,0.0,0.1,0.043478260869565216,138,3
race,Other,0.0,0.1,0.058823529411764705,17,3
race,Caucasian,0.0,0.1,0.0625,80,3
race,Hispanic,0.0,0.1,0.0,12,3
race,Asian,0.0,0.1,0.0,1,3
race,Hispanic,0.0,0.1,0.0625,16,4
race,African-American,0.0,0.1,0.05660377358490566,106,4
race,Caucasian,0.0,0.1,0.058823529411764705,85,4
race,Other,0.0,0.1,0.09090909090909091,11,4
race,Native American,0.0,0.1,,0,4
race,Asian,0.0,0.1,0.0,1,4
race,African-American,0.1,0.2,0.12658227848101267,79,0
race,Caucasian,0.1,0.2,0.08333333333333333,36,0
race,Other,0.1,0.2,0.0,1,0
race,Native American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.2,5,0
race,Asian,0.1,0.2,0.0,1,0
race,Hispanic,0.1,0.2,0.0,3,1
race,African-American,0.1,0.2,0.1568627450980392,51,1
race,Caucasian,0.1,0.2,0.1,30,1
race,Other,0.1,0.2,0.0,5,1
race,Native American,0.1,0.2,0.0,2,1
race,Asian,0.1,0.2,,0,1
race,Other,0.1,0.2,0.125,8,2
race,African-American,0.1,0.2,0.1728395061728395,81,2
race,Caucasian,0.1,0.2,0.10256410256410256,39,2
race,Hispanic,0.1,0.2,0.0,10,2
race,African-American,0.1,0.2,0.18840579710144928,69,3
race,Other,0.1,0.2,0.0,5,3
race,Caucasian,0.1,0.2,0.06896551724137931,29,3
race,Hispanic,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,0.0,4,4
race,African-American,0.1,0.2,0.07792207792207792,77,4
race,Caucasian,0.1,0.2,0.19444444444444445,36,4
race,Other,0.1,0.2,0.0,6,4
race,Native American,0.1,0.2,0.0,1,4
race,Asian,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.3,30,0
race,Caucasian,0.2,0.3,0.2,10,0
race,Other,0.2,0.3,0.5,2,0
race,Native American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.5,2,0
race,Asian,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,0.16666666666666666,36,1
race,Caucasian,0.2,0.3,0.09090909090909091,11,1
race,Other,0.2,0.3,0.0,1,1
race,Native American,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,Other,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,0.11627906976744186,43,2
race,Caucasian,0.2,0.3,0.09090909090909091,11,2
race,Hispanic,0.2,0.3,0.0,2,2
race,African-American,0.2,0.3,0.2608695652173913,23,3
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.3,10,3
race,Hispanic,0.2,0.3,0.3333333333333333,6,3
race,Asian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,0.0,3,4
race,African-American,0.2,0.3,0.2972972972972973,37,4
race,Caucasian,0.2,0.3,0.16666666666666666,6,4
race,Other,0.2,0.3,1.0,1,4
race,Native American,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Native American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Asian,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Native American,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Asian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Native American,0.3,0.4,,0,4
race,Asian,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
