Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Native American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Asian,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Native American,0.0,0.1,,0,1
race,Asian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Asian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Native American,0.0,0.1,,0,4
race,Asian,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Native American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Asian,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Native American,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Native American,0.1,0.2,,0,4
race,Asian,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.0,3,0
race,Caucasian,0.2,0.3,0.0,4,0
race,Other,0.2,0.3,,0,0
race,Native American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.0,2,0
race,Asian,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,0.0,1,1
race,Caucasian,0.2,0.3,0.2,5,1
race,Other,0.2,0.3,,0,1
race,Native American,0.2,0.3,0.0,1,1
race,Asian,0.2,0.3,,0,1
race,Other,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,0.0,1,2
race,Caucasian,0.2,0.3,0.0,3,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.0,3,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,8,3
race,Hispanic,0.2,0.3,0.0,2,3
race,Asian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.0,2,4
race,Caucasian,0.2,0.3,0.0,5,4
race,Other,0.2,0.3,0.0,1,4
race,Native American,0.2,0.3,,0,4
race,Asian,0.2,0.3,0.0,1,4
race,African-American,0.3,0.4,0.08333333333333333,24,0
race,Caucasian,0.3,0.4,0.041666666666666664,24,0
race,Other,0.3,0.4,0.25,4,0
race,Native American,0.3,0.4,0.0,1,0
race,Hispanic,0.3,0.4,0.1111111111111111,9,0
race,Asian,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,0.0,6,1
race,African-American,0.3,0.4,0.08823529411764706,34,1
race,Caucasian,0.3,0.4,0.125,24,1
race,Other,0.3,0.4,0.4,5,1
race,Native American,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Other,0.3,0.4,0.2,5,2
race,African-American,0.3,0.4,0.23076923076923078,13,2
race,Caucasian,0.3,0.4,0.0,24,2
race,Hispanic,0.3,0.4,0.0,5,2
race,African-American,0.3,0.4,0.07692307692307693,26,3
race,Other,0.3,0.4,0.0,5,3
race,Caucasian,0.3,0.4,0.07894736842105263,38,3
race,Hispanic,0.3,0.4,0.0,3,3
race,Asian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,0.0,1,4
race,African-American,0.3,0.4,0.037037037037037035,27,4
race,Caucasian,0.3,0.4,0.06060606060606061,33,4
race,Other,0.3,0.4,0.0,3,4
race,Native American,0.3,0.4,,0,4
race,Asian,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.10843373493975904,83,0
race,Caucasian,0.4,0.5,0.12698412698412698,63,0
race,Other,0.4,0.5,0.16666666666666666,6,0
race,Native American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,0.0,14,0
race,Asian,0.4,0.5,0.0,1,0
race,Hispanic,0.4,0.5,0.1,10,1
race,African-American,0.4,0.5,0.17117117117117117,111,1
race,Caucasian,0.4,0.5,0.0847457627118644,59,1
race,Other,0.4,0.5,0.0,10,1
race,Native American,0.4,0.5,0.0,1,1
race,Asian,0.4,0.5,0.0,2,1
race,Other,0.4,0.5,0.16666666666666666,6,2
race,African-American,0.4,0.5,0.2,45,2
race,Caucasian,0.4,0.5,0.10810810810810811,37,2
race,Hispanic,0.4,0.5,0.0,7,2
race,African-American,0.4,0.5,0.1559633027522936,109,3
race,Other,0.4,0.5,0.0,9,3
race,Caucasian,0.4,0.5,0.17647058823529413,51,3
race,Hispanic,0.4,0.5,0.1111111111111111,9,3
race,Asian,0.4,0.5,1.0,1,3
race,Hispanic,0.4,0.5,0.0,13,4
race,African-American,0.4,0.5,0.1782178217821782,101,4
race,Caucasian,0.4,0.5,0.1774193548387097,62,4
race,Other,0.4,0.5,0.1,10,4
race,Native American,0.4,0.5,,0,4
race,Asian,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.19672131147540983,61,0
race,Caucasian,0.5,0.6,0.2631578947368421,19,0
