Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.3333333333333333,12,0
race,African-American,0.0,0.1,0.4,5,0
race,Other,0.0,0.1,0.0,1,0
race,Hispanic,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,0.25,4,1
race,Caucasian,0.0,0.1,0.16666666666666666,6,1
race,African-American,0.0,0.1,0.25,4,2
race,Hispanic,0.0,0.1,,0,2
race,Other,0.0,0.1,0.0,1,2
race,Caucasian,0.0,0.1,0.2,5,2
race,African-American,0.0,0.1,0.0,3,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,0.25,4,3
race,Hispanic,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,0.0,1,4
race,Caucasian,0.0,0.1,0.25,4,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,0.18518518518518517,27,0
race,African-American,0.1,0.2,0.375,16,0
race,Other,0.1,0.2,0.4,5,0
race,Hispanic,0.1,0.2,0.25,4,0
race,Hispanic,0.1,0.2,0.2222222222222222,9,1
race,Other,0.1,0.2,0.6666666666666666,3,1
race,African-American,0.1,0.2,0.17647058823529413,17,1
race,Caucasian,0.1,0.2,0.23529411764705882,17,1
race,African-American,0.1,0.2,0.30434782608695654,23,2
race,Hispanic,0.1,0.2,0.25,8,2
race,Other,0.1,0.2,0.5,2,2
race,Caucasian,0.1,0.2,0.30434782608695654,23,2
race,African-American,0.1,0.2,0.3125,16,3
race,Other,0.1,0.2,0.5,2,3
race,Caucasian,0.1,0.2,0.3333333333333333,12,3
race,Hispanic,0.1,0.2,0.0,4,3
race,Hispanic,0.1,0.2,0.25,4,4
race,African-American,0.1,0.2,0.20833333333333334,24,4
race,Caucasian,0.1,0.2,0.06666666666666667,15,4
race,Other,0.1,0.2,0.2,5,4
race,Caucasian,0.2,0.3,0.3181818181818182,22,0
race,African-American,0.2,0.3,0.2916666666666667,24,0
race,Other,0.2,0.3,0.4,5,0
race,Hispanic,0.2,0.3,0.3333333333333333,3,0
race,Hispanic,0.2,0.3,0.4,5,1
race,Other,0.2,0.3,0.3333333333333333,3,1
race,African-American,0.2,0.3,0.37777777777777777,45,1
race,Caucasian,0.2,0.3,0.30434782608695654,23,1
race,African-American,0.2,0.3,0.42857142857142855,28,2
race,Hispanic,0.2,0.3,0.0,4,2
race,Other,0.2,0.3,0.3333333333333333,6,2
race,Caucasian,0.2,0.3,0.22727272727272727,22,2
race,African-American,0.2,0.3,0.20689655172413793,29,3
race,Other,0.2,0.3,0.4,5,3
race,Caucasian,0.2,0.3,0.3333333333333333,21,3
