Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Native American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Asian,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Native American,0.0,0.1,,0,1
race,Asian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Asian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Native American,0.0,0.1,,0,4
race,Asian,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Native American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Asian,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Native American,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Native American,0.1,0.2,,0,4
race,Asian,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Native American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Asian,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Native American,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,Other,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,0.5,6,2
race,Caucasian,0.2,0.3,0.75,4,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Native American,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.1724137931034483,29,0
race,Caucasian,0.3,0.4,0.3333333333333333,27,0
race,Other,0.3,0.4,1.0,2,0
race,Native American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,0.3,10,0
race,Asian,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,0.0,2,1
race,African-American,0.3,0.4,0.25,28,1
race,Caucasian,0.3,0.4,0.3125,16,1
race,Other,0.3,0.4,0.4,5,1
race,Native American,0.3,0.4,0.0,1,1
race,Asian,0.3,0.4,,0,1
race,Other,0.3,0.4,0.6,5,2
race,African-American,0.3,0.4,0.3333333333333333,18,2
race,Caucasian,0.3,0.4,0.13636363636363635,22,2
race,Hispanic,0.3,0.4,0.16666666666666666,6,2
race,African-American,0.3,0.4,0.35,20,3
race,Other,0.3,0.4,0.5,2,3
race,Caucasian,0.3,0.4,0.15384615384615385,26,3
race,Hispanic,0.3,0.4,0.0,3,3
race,Asian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,0.6,5,4
race,African-American,0.3,0.4,0.09090909090909091,22,4
race,Caucasian,0.3,0.4,0.24,25,4
race,Other,0.3,0.4,0.6666666666666666,3,4
race,Native American,0.3,0.4,,0,4
race,Asian,0.3,0.4,0.0,1,4
race,African-American,0.4,0.5,0.40350877192982454,57,0
race,Caucasian,0.4,0.5,0.30303030303030304,33,0
race,Other,0.4,0.5,0.3333333333333333,6,0
race,Native American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,0.2857142857142857,14,0
race,Asian,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,0.08333333333333333,12,1
race,African-American,0.4,0.5,0.2653061224489796,49,1
race,Caucasian,0.4,0.5,0.2682926829268293,41,1
race,Other,0.4,0.5,0.2857142857142857,7,1
race,Native American,0.4,0.5,,0,1
race,Asian,0.4,0.5,1.0,1,1
race,Other,0.4,0.5,0.3333333333333333,6,2
race,African-American,0.4,0.5,0.3684210526315789,38,2
race,Caucasian,0.4,0.5,0.2926829268292683,41,2
race,Hispanic,0.4,0.5,0.0,4,2
race,African-American,0.4,0.5,0.2564102564102564,39,3
race,Other,0.4,0.5,0.0,8,3
race,Caucasian,0.4,0.5,0.30434782608695654,46,3
race,Hispanic,0.4,0.5,0.25,4,3
race,Asian,0.4,0.5,1.0,1,3
race,Hispanic,0.4,0.5,0.5,4,4
race,African-American,0.4,0.5,0.3829787234042553,47,4
race,Caucasian,0.4,0.5,0.35,40,4
race,Other,0.4,0.5,0.3333333333333333,3,4
race,Native American,0.4,0.5,,0,4
race,Asian,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.5074626865671642,67,0
race,Caucasian,0.5,0.6,0.5909090909090909,44,0
race,Other,0.5,0.6,0.5,2,0
race,Native American,0.5,0.6,0.0,1,0
