Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.18461538461538463,65,0
race,African-American,0.0,0.1,0.23076923076923078,78,0
race,Native American,0.0,0.1,0.0,1,0
race,Other,0.0,0.1,0.2222222222222222,9,0
race,Hispanic,0.0,0.1,0.2857142857142857,7,0
race,Asian,0.0,0.1,0.0,2,0
race,Hispanic,0.0,0.1,0.1111111111111111,18,1
race,Other,0.0,0.1,0.4,10,1
race,African-American,0.0,0.1,0.19718309859154928,71,1
race,Caucasian,0.0,0.1,0.19642857142857142,56,1
race,African-American,0.0,0.1,0.25925925925925924,54,2
race,Hispanic,0.0,0.1,0.0,11,2
race,Other,0.0,0.1,0.14285714285714285,7,2
race,Caucasian,0.0,0.1,0.20833333333333334,48,2
race,Native American,0.0,0.1,,0,2
race,Asian,0.0,0.1,1.0,1,2
race,African-American,0.0,0.1,0.14705882352941177,34,3
race,Other,0.0,0.1,0.0,5,3
race,Caucasian,0.0,0.1,0.125,24,3
race,Hispanic,0.0,0.1,0.0,5,3
race,Native American,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,0.3,10,4
race,African-American,0.0,0.1,0.19117647058823528,68,4
race,Caucasian,0.0,0.1,0.1346153846153846,52,4
race,Other,0.0,0.1,0.1111111111111111,9,4
race,Caucasian,0.1,0.2,0.3695652173913043,46,0
race,African-American,0.1,0.2,0.32222222222222224,90,0
race,Native American,0.1,0.2,0.0,1,0
race,Other,0.1,0.2,0.3333333333333333,6,0
race,Hispanic,0.1,0.2,0.3,10,0
race,Asian,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.3333333333333333,12,1
race,Other,0.1,0.2,0.2857142857142857,7,1
race,African-American,0.1,0.2,0.3153846153846154,130,1
race,Caucasian,0.1,0.2,0.2765957446808511,47,1
race,African-American,0.1,0.2,0.3625,160,2
race,Hispanic,0.1,0.2,0.2,15,2
race,Other,0.1,0.2,0.21428571428571427,14,2
race,Caucasian,0.1,0.2,0.28,75,2
race,Native American,0.1,0.2,0.0,1,2
race,Asian,0.1,0.2,0.5,2,2
race,African-American,0.1,0.2,0.21468926553672316,177,3
race,Other,0.1,0.2,0.2727272727272727,11,3
race,Caucasian,0.1,0.2,0.19148936170212766,94,3
race,Hispanic,0.1,0.2,0.29411764705882354,17,3
race,Native American,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,0.21428571428571427,14,4
race,African-American,0.1,0.2,0.31386861313868614,137,4
race,Caucasian,0.1,0.2,0.37037037037037035,54,4
race,Other,0.1,0.2,0.14285714285714285,7,4
race,Caucasian,0.2,0.3,0.13333333333333333,15,0
race,African-American,0.2,0.3,0.475,40,0
race,Native American,0.2,0.3,,0,0
race,Other,0.2,0.3,0.0,1,0
race,Hispanic,0.2,0.3,0.0,5,0
race,Asian,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,1.0,1,1
race,Other,0.2,0.3,0.6666666666666666,3,1
race,African-American,0.2,0.3,0.48148148148148145,27,1
race,Caucasian,0.2,0.3,0.8,5,1
race,African-American,0.2,0.3,0.0,3,2
race,Hispanic,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Native American,0.2,0.3,,0,2
race,Asian,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.6,15,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.2857142857142857,7,3
race,Hispanic,0.2,0.3,,0,3
race,Native American,0.2,0.3,0.0,1,3
race,Hispanic,0.2,0.3,0.5,2,4
race,African-American,0.2,0.3,0.3333333333333333,27,4
race,Caucasian,0.2,0.3,0.8571428571428571,7,4
race,Other,0.2,0.3,1.0,1,4
race,Caucasian,0.3,0.4,0.6666666666666666,3,0
race,African-American,0.3,0.4,0.5,6,0
race,Native American,0.3,0.4,,0,0
race,Other,0.3,0.4,1.0,1,0
race,Hispanic,0.3,0.4,,0,0
race,Asian,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,1.0,3,1
race,Caucasian,0.3,0.4,1.0,1,1
race,African-American,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Native American,0.3,0.4,,0,2
race,Asian,0.3,0.4,,0,2
race,African-American,0.3,0.4,0.0,1,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Native American,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,1.0,1,4
race,Caucasian,0.4,0.5,0.0,1,0
race,African-American,0.4,0.5,0.0,2,0
race,Native American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Asian,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
