Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.0,6,0
race,Caucasian,0.0,0.1,0.0,4,0
race,Other,0.0,0.1,0.0,1,0
race,Native American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,0.5,2,0
race,Asian,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,0.0,2,1
race,African-American,0.0,0.1,0.0,1,1
race,Caucasian,0.0,0.1,0.25,4,1
race,Other,0.0,0.1,,0,1
race,Native American,0.0,0.1,,0,1
race,Asian,0.0,0.1,,0,1
race,Other,0.0,0.1,0.0,2,2
race,African-American,0.0,0.1,0.125,8,2
race,Caucasian,0.0,0.1,0.3333333333333333,12,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,0.2,5,3
race,Other,0.0,0.1,0.0,2,3
race,Caucasian,0.0,0.1,0.75,4,3
race,Hispanic,0.0,0.1,,0,3
race,Asian,0.0,0.1,0.0,1,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,0.125,16,4
race,Caucasian,0.0,0.1,0.1875,16,4
race,Other,0.0,0.1,0.5,2,4
race,Native American,0.0,0.1,,0,4
race,Asian,0.0,0.1,0.0,1,4
race,African-American,0.1,0.2,0.19047619047619047,42,0
race,Caucasian,0.1,0.2,0.21951219512195122,41,0
race,Other,0.1,0.2,0.5,2,0
race,Native American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.1111111111111111,9,0
race,Asian,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.0,10,1
race,African-American,0.1,0.2,0.15,40,1
race,Caucasian,0.1,0.2,0.32,25,1
race,Other,0.1,0.2,0.0,5,1
race,Native American,0.1,0.2,,0,1
race,Asian,0.1,0.2,0.5,2,1
race,Other,0.1,0.2,0.1111111111111111,9,2
race,African-American,0.1,0.2,0.23214285714285715,56,2
race,Caucasian,0.1,0.2,0.0625,48,2
race,Hispanic,0.1,0.2,0.1111111111111111,9,2
race,African-American,0.1,0.2,0.29850746268656714,67,3
race,Other,0.1,0.2,0.2,10,3
race,Caucasian,0.1,0.2,0.1206896551724138,58,3
race,Hispanic,0.1,0.2,0.16666666666666666,6,3
race,Asian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,0.4444444444444444,9,4
race,African-American,0.1,0.2,0.09523809523809523,42,4
race,Caucasian,0.1,0.2,0.14583333333333334,48,4
