Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.0,1,2
race,Caucasian,0.2,0.3,0.0,2,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.15789473684210525,19,0
race,Caucasian,0.3,0.4,0.13333333333333333,15,0
race,Other,0.3,0.4,0.0,1,0
race,Hispanic,0.3,0.4,0.2,5,0
race,Hispanic,0.3,0.4,0.0,2,1
race,African-American,0.3,0.4,0.14285714285714285,35,1
race,Caucasian,0.3,0.4,0.2777777777777778,18,1
race,Other,0.3,0.4,0.0,3,1
race,Other,0.3,0.4,0.14285714285714285,7,2
race,African-American,0.3,0.4,0.2222222222222222,27,2
race,Caucasian,0.3,0.4,0.2,25,2
race,Hispanic,0.3,0.4,0.2857142857142857,7,2
race,African-American,0.3,0.4,0.2857142857142857,28,3
race,Other,0.3,0.4,0.3333333333333333,6,3
race,Caucasian,0.3,0.4,0.07142857142857142,28,3
race,Hispanic,0.3,0.4,0.0,1,3
race,Hispanic,0.3,0.4,0.42857142857142855,7,4
race,African-American,0.3,0.4,0.12121212121212122,33,4
race,Caucasian,0.3,0.4,0.14285714285714285,28,4
race,Other,0.3,0.4,0.5,4,4
race,African-American,0.4,0.5,0.275,80,0
race,Caucasian,0.4,0.5,0.18604651162790697,43,0
race,Other,0.4,0.5,0.0,4,0
race,Hispanic,0.4,0.5,0.125,16,0
race,Hispanic,0.4,0.5,0.0,13,1
race,African-American,0.4,0.5,0.20588235294117646,68,1
race,Caucasian,0.4,0.5,0.18181818181818182,44,1
race,Other,0.4,0.5,0.09090909090909091,11,1
race,Other,0.4,0.5,0.0,3,2
race,African-American,0.4,0.5,0.25,52,2
race,Caucasian,0.4,0.5,0.16279069767441862,43,2
race,Hispanic,0.4,0.5,0.0,5,2
race,African-American,0.4,0.5,0.2777777777777778,72,3
race,Other,0.4,0.5,0.18181818181818182,11,3
race,Caucasian,0.4,0.5,0.19444444444444445,36,3
race,Hispanic,0.4,0.5,0.2,5,3
race,Hispanic,0.4,0.5,0.0,2,4
race,African-American,0.4,0.5,0.2542372881355932,59,4
race,Caucasian,0.4,0.5,0.2777777777777778,36,4
race,Other,0.4,0.5,0.0,6,4
race,African-American,0.5,0.6,0.32558139534883723,86,0
race,Caucasian,0.5,0.6,0.3125,48,0
race,Other,0.5,0.6,0.5,8,0
race,Hispanic,0.5,0.6,0.3,10,0
race,Hispanic,0.5,0.6,0.1111111111111111,9,1
race,African-American,0.5,0.6,0.2604166666666667,96,1
race,Caucasian,0.5,0.6,0.4,35,1
race,Other,0.5,0.6,0.5,2,1
race,Other,0.5,0.6,0.09090909090909091,11,2
race,African-American,0.5,0.6,0.336283185840708,113,2
race,Caucasian,0.5,0.6,0.3,40,2
race,Hispanic,0.5,0.6,0.3333333333333333,9,2
race,African-American,0.5,0.6,0.2261904761904762,84,3
race,Other,0.5,0.6,0.0,4,3
race,Caucasian,0.5,0.6,0.17073170731707318,41,3
race,Hispanic,0.5,0.6,0.125,8,3
race,Hispanic,0.5,0.6,0.45454545454545453,11,4
race,African-American,0.5,0.6,0.3577981651376147,109,4
race,Caucasian,0.5,0.6,0.24489795918367346,49,4
race,Other,0.5,0.6,0.7142857142857143,7,4
race,African-American,0.6,0.7,0.3783783783783784,37,0
race,Caucasian,0.6,0.7,0.5,14,0
race,Other,0.6,0.7,1.0,1,0
race,Hispanic,0.6,0.7,0.0,2,0
race,Hispanic,0.6,0.7,0.3333333333333333,3,1
race,African-American,0.6,0.7,0.43333333333333335,30,1
race,Caucasian,0.6,0.7,0.3125,16,1
race,Other,0.6,0.7,0.0,4,1
race,Other,0.6,0.7,1.0,3,2
race,African-American,0.6,0.7,0.46153846153846156,26,2
race,Caucasian,0.6,0.7,0.3333333333333333,12,2
