Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.03076923076923077,130,0
race,Caucasian,0.0,0.1,0.05063291139240506,79,0
race,Other,0.0,0.1,0.1111111111111111,9,0
race,Native American,0.0,0.1,0.0,1,0
race,Hispanic,0.0,0.1,0.0,24,0
race,Asian,0.0,0.1,0.0,1,0
race,Hispanic,0.0,0.1,0.058823529411764705,17,1
race,African-American,0.0,0.1,0.03597122302158273,139,1
race,Caucasian,0.0,0.1,0.04938271604938271,81,1
race,Other,0.0,0.1,0.0625,16,1
race,Native American,0.0,0.1,0.0,1,1
race,Asian,0.0,0.1,0.5,2,1
race,Other,0.0,0.1,0.0,17,2
race,African-American,0.0,0.1,0.05673758865248227,141,2
race,Caucasian,0.0,0.1,0.056818181818181816,88,2
race,Hispanic,0.0,0.1,0.0,18,2
race,African-American,0.0,0.1,0.038461538461538464,130,3
race,Other,0.0,0.1,0.0,13,3
race,Caucasian,0.0,0.1,0.0,84,3
race,Hispanic,0.0,0.1,0.0,13,3
race,Asian,0.0,0.1,1.0,1,3
race,Hispanic,0.0,0.1,0.0,15,4
race,African-American,0.0,0.1,0.03816793893129771,131,4
race,Caucasian,0.0,0.1,0.05434782608695652,92,4
race,Other,0.0,0.1,0.0,11,4
race,Native American,0.0,0.1,,0,4
race,Asian,0.0,0.1,0.0,1,4
race,African-American,0.1,0.2,0.09375,64,0
race,Caucasian,0.1,0.2,0.0967741935483871,31,0
race,Other,0.1,0.2,0.0,2,0
race,Native American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.0,6,0
race,Asian,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.0,4,1
race,African-American,0.1,0.2,0.11475409836065574,61,1
race,Caucasian,0.1,0.2,0.045454545454545456,22,1
race,Other,0.1,0.2,,0,1
race,Native American,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,Other,0.1,0.2,0.0,5,2
race,African-American,0.1,0.2,0.11764705882352941,51,2
race,Caucasian,0.1,0.2,0.18181818181818182,22,2
race,Hispanic,0.1,0.2,0.0,5,2
race,African-American,0.1,0.2,0.17142857142857143,70,3
race,Other,0.1,0.2,0.0,7,3
race,Caucasian,0.1,0.2,0.14285714285714285,28,3
race,Hispanic,0.1,0.2,0.0,2,3
race,Asian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,0.25,8,4
race,African-American,0.1,0.2,0.1935483870967742,62,4
race,Caucasian,0.1,0.2,0.11538461538461539,26,4
race,Other,0.1,0.2,0.2,5,4
race,Native American,0.1,0.2,0.0,1,4
race,Asian,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.2,25,0
race,Caucasian,0.2,0.3,0.75,8,0
race,Other,0.2,0.3,0.0,1,0
race,Native American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.0,2,0
race,Asian,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.4,5,1
race,African-American,0.2,0.3,0.2222222222222222,27,1
race,Caucasian,0.2,0.3,0.3333333333333333,9,1
race,Other,0.2,0.3,,0,1
race,Native American,0.2,0.3,0.0,1,1
race,Asian,0.2,0.3,,0,1
race,Other,0.2,0.3,0.0,2,2
race,African-American,0.2,0.3,0.16,25,2
race,Caucasian,0.2,0.3,0.5,8,2
race,Hispanic,0.2,0.3,0.0,3,2
race,African-American,0.2,0.3,0.37037037037037035,27,3
race,Other,0.2,0.3,0.6666666666666666,3,3
race,Caucasian,0.2,0.3,0.2,5,3
race,Hispanic,0.2,0.3,0.0,1,3
race,Asian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.2,20,4
race,Caucasian,0.2,0.3,0.14285714285714285,7,4
race,Other,0.2,0.3,0.5,2,4
race,Native American,0.2,0.3,,0,4
race,Asian,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Native American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Asian,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Native American,0.3,0.4,,0,1
race,Asian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Asian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Native American,0.3,0.4,,0,4
race,Asian,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Native American,0.4,0.5,,0,0
