Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.15126050420168066,119,0
race,African-American,0.0,0.1,0.22085889570552147,163,0
race,Native American,0.0,0.1,0.0,1,0
race,Other,0.0,0.1,0.13333333333333333,15,0
race,Hispanic,0.0,0.1,0.0,18,0
race,Asian,0.0,0.1,0.5,2,0
race,Hispanic,0.0,0.1,0.13043478260869565,23,1
race,Other,0.0,0.1,0.1875,16,1
race,African-American,0.0,0.1,0.18994413407821228,179,1
race,Caucasian,0.0,0.1,0.16129032258064516,93,1
race,African-American,0.0,0.1,0.17647058823529413,170,2
race,Hispanic,0.0,0.1,0.04,25,2
race,Other,0.0,0.1,0.05263157894736842,19,2
race,Caucasian,0.0,0.1,0.14414414414414414,111,2
race,Native American,0.0,0.1,0.0,1,2
race,Asian,0.0,0.1,0.3333333333333333,3,2
race,African-American,0.0,0.1,0.16556291390728478,151,3
race,Other,0.0,0.1,0.4666666666666667,15,3
race,Caucasian,0.0,0.1,0.13592233009708737,103,3
race,Hispanic,0.0,0.1,0.15789473684210525,19,3
race,Native American,0.0,0.1,0.0,1,3
race,Hispanic,0.0,0.1,0.18181818181818182,22,4
race,African-American,0.0,0.1,0.1695906432748538,171,4
race,Caucasian,0.0,0.1,0.13043478260869565,92,4
race,Other,0.0,0.1,0.14285714285714285,14,4
race,Caucasian,0.1,0.2,0.375,8,0
race,African-American,0.1,0.2,0.3829787234042553,47,0
race,Native American,0.1,0.2,0.0,1,0
race,Other,0.1,0.2,0.0,1,0
race,Hispanic,0.1,0.2,0.3333333333333333,3,0
race,Asian,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,0.2857142857142857,7,1
race,Other,0.1,0.2,0.6666666666666666,3,1
race,African-American,0.1,0.2,0.24324324324324326,37,1
race,Caucasian,0.1,0.2,0.6,10,1
race,African-American,0.1,0.2,0.5405405405405406,37,2
race,Hispanic,0.1,0.2,0.0,1,2
race,Other,0.1,0.2,0.0,1,2
race,Caucasian,0.1,0.2,0.8,10,2
race,Native American,0.1,0.2,,0,2
race,Asian,0.1,0.2,,0,2
race,African-American,0.1,0.2,0.3090909090909091,55,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.3333333333333333,12,3
race,Hispanic,0.1,0.2,0.0,3,3
race,Native American,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,0.3333333333333333,3,4
race,African-American,0.1,0.2,0.24242424242424243,33,4
race,Caucasian,0.1,0.2,0.4117647058823529,17,4
race,Other,0.1,0.2,0.5,4,4
race,Caucasian,0.2,0.3,0.75,4,0
race,African-American,0.2,0.3,0.16666666666666666,6,0
race,Native American,0.2,0.3,,0,0
race,Other,0.2,0.3,0.0,1,0
race,Hispanic,0.2,0.3,,0,0
race,Asian,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,1.0,1,1
race,Other,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,0.2857142857142857,7,1
race,Caucasian,0.2,0.3,0.5,2,1
race,African-American,0.2,0.3,0.5714285714285714,7,2
race,Hispanic,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,1.0,1,2
race,Native American,0.2,0.3,,0,2
race,Asian,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.3333333333333333,12,3
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.0,5,3
race,Hispanic,0.2,0.3,,0,3
race,Native American,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.21428571428571427,14,4
race,Caucasian,0.2,0.3,1.0,1,4
race,Other,0.2,0.3,0.0,1,4
race,Caucasian,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Native American,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,1.0,1,0
race,Asian,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.5,4,1
race,Caucasian,0.3,0.4,0.6666666666666666,3,1
race,African-American,0.3,0.4,0.0,3,2
race,Hispanic,0.3,0.4,,0,2
race,Other,0.3,0.4,1.0,1,2
race,Caucasian,0.3,0.4,1.0,1,2
race,Native American,0.3,0.4,,0,2
race,Asian,0.3,0.4,,0,2
race,African-American,0.3,0.4,0.4,5,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,1,3
race,Hispanic,0.3,0.4,,0,3
race,Native American,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,0.0,1,4
race,African-American,0.3,0.4,0.375,8,4
race,Caucasian,0.3,0.4,0.0,1,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,African-American,0.4,0.5,0.0,1,0
race,Native American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Asian,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.5,4,1
race,Caucasian,0.4,0.5,0.0,1,1
race,African-American,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Native American,0.4,0.5,,0,2
race,Asian,0.4,0.5,,0,2
race,African-American,0.4,0.5,1.0,4,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.5,2,3
race,Hispanic,0.4,0.5,,0,3
race,Native American,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.4,5,4
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,,0,0
race,African-American,0.5,0.6,,0,0
race,Native American,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Hispanic,0.5,0.6,,0,0
race,Asian,0.5,0.6,,0,0
race,Hispanic,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Hispanic,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Native American,0.5,0.6,,0,2
race,Asian,0.5,0.6,,0,2
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,1.0,2,3
race,Hispanic,0.5,0.6,,0,3
race,Native American,0.5,0.6,,0,3
race,Hispanic,0.5,0.6,,0,4
race,African-American,0.5,0.6,1.0,1,4
race,Caucasian,0.5,0.6,0.0,2,4
race,Other,0.5,0.6,,0,4
race,Caucasian,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Native American,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Asian,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Native American,0.6,0.7,,0,2
race,Asian,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,3
race,Native American,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,Caucasian,0.7,0.8,,0,0
race,African-American,0.7,0.8,,0,0
race,Native American,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Hispanic,0.7,0.8,,0,0
race,Asian,0.7,0.8,,0,0
race,Hispanic,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Hispanic,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
