Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.06285714285714286,175,0
race,Hispanic,0.0,0.1,0.0,23,0
race,Caucasian,0.0,0.1,0.031578947368421054,95,0
race,Other,0.0,0.1,0.047619047619047616,21,0
race,Other,0.0,0.1,0.0,12,1
race,Caucasian,0.0,0.1,0.03636363636363636,110,1
race,African-American,0.0,0.1,0.019704433497536946,203,1
race,Hispanic,0.0,0.1,0.04,25,1
race,African-American,0.0,0.1,0.0223463687150838,179,2
race,Other,0.0,0.1,0.05555555555555555,18,2
race,Caucasian,0.0,0.1,0.009523809523809525,105,2
race,Hispanic,0.0,0.1,0.0,18,2
race,African-American,0.0,0.1,0.029850746268656716,201,3
race,Caucasian,0.0,0.1,0.043859649122807015,114,3
race,Hispanic,0.0,0.1,0.07142857142857142,28,3
race,Other,0.0,0.1,0.0,14,3
race,Caucasian,0.0,0.1,0.04597701149425287,87,4
race,African-American,0.0,0.1,0.031746031746031744,189,4
race,Hispanic,0.0,0.1,0.0,23,4
race,Other,0.0,0.1,0.0,25,4
race,African-American,0.1,0.2,0.06976744186046512,43,0
race,Hispanic,0.1,0.2,0.0,1,0
race,Caucasian,0.1,0.2,0.07142857142857142,28,0
race,Other,0.1,0.2,0.0,2,0
race,Other,0.1,0.2,0.0,2,1
race,Caucasian,0.1,0.2,0.07692307692307693,13,1
race,African-American,0.1,0.2,0.0625,16,1
race,Hispanic,0.1,0.2,0.0,2,1
race,African-American,0.1,0.2,0.11627906976744186,43,2
race,Other,0.1,0.2,1.0,1,2
race,Caucasian,0.1,0.2,0.07692307692307693,26,2
race,Hispanic,0.1,0.2,0.0,1,2
race,African-American,0.1,0.2,0.08695652173913043,23,3
race,Caucasian,0.1,0.2,0.16666666666666666,6,3
race,Hispanic,0.1,0.2,0.0,1,3
race,Other,0.1,0.2,0.0,4,3
race,Caucasian,0.1,0.2,0.0,12,4
race,African-American,0.1,0.2,0.10869565217391304,46,4
race,Hispanic,0.1,0.2,0.0,5,4
race,Other,0.1,0.2,0.0,3,4
race,African-American,0.2,0.3,0.0,2,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,1,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.25,4,1
race,African-American,0.2,0.3,0.25,4,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Hispanic,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Hispanic,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Hispanic,0.5,0.6,,0,2
race,African-American,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,3
race,Hispanic,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,Hispanic,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Hispanic,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Hispanic,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Hispanic,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Hispanic,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,Hispanic,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Hispanic,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Hispanic,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Hispanic,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Hispanic,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,Hispanic,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Hispanic,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Hispanic,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,1
