Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,4,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,9,4
race,African-American,0.2,0.3,0.0,1,4
race,Hispanic,0.2,0.3,0.0,1,4
race,Other,0.2,0.3,0.0,1,4
race,African-American,0.3,0.4,0.0,32,0
race,Hispanic,0.3,0.4,0.0,5,0
race,Caucasian,0.3,0.4,0.0967741935483871,31,0
race,Other,0.3,0.4,0.0,6,0
race,Other,0.3,0.4,0.0,4,1
race,Caucasian,0.3,0.4,0.05555555555555555,18,1
race,African-American,0.3,0.4,0.0,14,1
race,Hispanic,0.3,0.4,0.0,6,1
race,African-American,0.3,0.4,0.047619047619047616,21,2
race,Other,0.3,0.4,0.0,3,2
race,Caucasian,0.3,0.4,0.0,34,2
race,Hispanic,0.3,0.4,0.0,6,2
race,African-American,0.3,0.4,0.09090909090909091,22,3
race,Caucasian,0.3,0.4,0.14285714285714285,28,3
race,Hispanic,0.3,0.4,0.0,8,3
race,Other,0.3,0.4,0.0,4,3
race,Caucasian,0.3,0.4,0.03225806451612903,31,4
race,African-American,0.3,0.4,0.06451612903225806,31,4
race,Hispanic,0.3,0.4,0.0,8,4
race,Other,0.3,0.4,0.0,11,4
race,African-American,0.4,0.5,0.1,70,0
race,Hispanic,0.4,0.5,0.0,10,0
race,Caucasian,0.4,0.5,0.1,60,0
race,Other,0.4,0.5,0.125,8,0
race,Other,0.4,0.5,0.0,3,1
race,Caucasian,0.4,0.5,0.06944444444444445,72,1
race,African-American,0.4,0.5,0.053763440860215055,93,1
race,Hispanic,0.4,0.5,0.0,9,1
race,African-American,0.4,0.5,0.1111111111111111,81,2
race,Other,0.4,0.5,0.0,9,2
race,Caucasian,0.4,0.5,0.06521739130434782,46,2
race,Hispanic,0.4,0.5,0.125,8,2
race,African-American,0.4,0.5,0.0847457627118644,59,3
race,Caucasian,0.4,0.5,0.13636363636363635,44,3
race,Hispanic,0.4,0.5,0.0,8,3
race,Other,0.4,0.5,0.16666666666666666,6,3
race,Caucasian,0.4,0.5,0.25,20,4
race,African-American,0.4,0.5,0.1111111111111111,81,4
race,Hispanic,0.4,0.5,0.0,7,4
race,Other,0.4,0.5,0.0,8,4
race,African-American,0.5,0.6,0.06756756756756757,74,0
race,Hispanic,0.5,0.6,0.0,8,0
race,Caucasian,0.5,0.6,0.21428571428571427,14,0
race,Other,0.5,0.6,0.0,4,0
race,Other,0.5,0.6,0.0,6,1
race,Caucasian,0.5,0.6,0.09090909090909091,33,1
race,African-American,0.5,0.6,0.16470588235294117,85,1
