Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.0,8,0
race,Hispanic,0.0,0.1,0.0,2,0
race,Caucasian,0.0,0.1,0.1875,16,0
race,Other,0.0,0.1,0.0,2,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,0.125,24,2
race,Other,0.0,0.1,0.5,4,2
race,Caucasian,0.0,0.1,0.13043478260869565,23,2
race,Hispanic,0.0,0.1,0.25,4,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,0.043478260869565216,23,4
race,African-American,0.0,0.1,0.17647058823529413,17,4
race,Hispanic,0.0,0.1,0.0,2,4
race,Other,0.0,0.1,0.0,5,4
race,African-American,0.1,0.2,0.11764705882352941,68,0
race,Hispanic,0.1,0.2,0.1,10,0
race,Caucasian,0.1,0.2,0.18181818181818182,44,0
race,Other,0.1,0.2,0.125,8,0
race,Other,0.1,0.2,0.1,10,1
race,Caucasian,0.1,0.2,0.16071428571428573,56,1
race,African-American,0.1,0.2,0.19047619047619047,84,1
race,Hispanic,0.1,0.2,0.23076923076923078,13,1
race,African-American,0.1,0.2,0.09615384615384616,52,2
race,Other,0.1,0.2,0.0,7,2
race,Caucasian,0.1,0.2,0.11764705882352941,51,2
race,Hispanic,0.1,0.2,0.0,5,2
race,African-American,0.1,0.2,0.12962962962962962,54,3
race,Caucasian,0.1,0.2,0.27419354838709675,62,3
race,Hispanic,0.1,0.2,0.0,12,3
race,Other,0.1,0.2,0.2,5,3
race,Caucasian,0.1,0.2,0.2972972972972973,37,4
race,African-American,0.1,0.2,0.22077922077922077,77,4
race,Hispanic,0.1,0.2,0.125,16,4
race,Other,0.1,0.2,0.08333333333333333,12,4
race,African-American,0.2,0.3,0.2777777777777778,144,0
race,Hispanic,0.2,0.3,0.0,12,0
race,Caucasian,0.2,0.3,0.234375,64,0
race,Other,0.2,0.3,0.15384615384615385,13,0
race,Other,0.2,0.3,0.6666666666666666,3,1
race,Caucasian,0.2,0.3,0.18333333333333332,60,1
race,African-American,0.2,0.3,0.2524271844660194,103,1
race,Hispanic,0.2,0.3,0.14285714285714285,14,1
race,African-American,0.2,0.3,0.29310344827586204,116,2
race,Other,0.2,0.3,0.375,8,2
race,Caucasian,0.2,0.3,0.24,50,2
race,Hispanic,0.2,0.3,0.2222222222222222,9,2
race,African-American,0.2,0.3,0.2534246575342466,146,3
race,Caucasian,0.2,0.3,0.2,55,3
race,Hispanic,0.2,0.3,0.07142857142857142,14,3
race,Other,0.2,0.3,0.08333333333333333,12,3
race,Caucasian,0.2,0.3,0.2962962962962963,27,4
race,African-American,0.2,0.3,0.26732673267326734,101,4
race,Hispanic,0.2,0.3,0.0,9,4
race,Other,0.2,0.3,0.2222222222222222,9,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Hispanic,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
