Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.0759493670886076,79,0
race,Hispanic,0.0,0.1,0.06666666666666667,15,0
race,Caucasian,0.0,0.1,0.03508771929824561,57,0
race,Other,0.0,0.1,0.0,7,0
race,Other,0.0,0.1,0.0,5,1
race,Caucasian,0.0,0.1,0.0975609756097561,41,1
race,African-American,0.0,0.1,0.10526315789473684,76,1
race,Hispanic,0.0,0.1,0.0,9,1
race,African-American,0.0,0.1,0.029411764705882353,34,2
race,Other,0.0,0.1,0.0,3,2
race,Caucasian,0.0,0.1,0.10869565217391304,46,2
race,Hispanic,0.0,0.1,0.0,2,2
race,African-American,0.0,0.1,0.07692307692307693,39,3
race,Caucasian,0.0,0.1,0.14285714285714285,35,3
race,Hispanic,0.0,0.1,0.0,6,3
race,Other,0.0,0.1,0.0,7,3
race,Caucasian,0.0,0.1,0.1111111111111111,54,4
race,African-American,0.0,0.1,0.11235955056179775,89,4
race,Hispanic,0.0,0.1,0.0,14,4
race,Other,0.0,0.1,0.07692307692307693,13,4
race,African-American,0.1,0.2,0.1523809523809524,105,0
race,Hispanic,0.1,0.2,0.0,6,0
race,Caucasian,0.1,0.2,0.14583333333333334,48,0
race,Other,0.1,0.2,0.07692307692307693,13,0
race,Other,0.1,0.2,0.125,8,1
race,Caucasian,0.1,0.2,0.0945945945945946,74,1
race,African-American,0.1,0.2,0.14285714285714285,119,1
race,Hispanic,0.1,0.2,0.1875,16,1
race,African-American,0.1,0.2,0.12949640287769784,139,2
race,Other,0.1,0.2,0.38461538461538464,13,2
race,Caucasian,0.1,0.2,0.11267605633802817,71,2
race,Hispanic,0.1,0.2,0.13333333333333333,15,2
race,African-American,0.1,0.2,0.15625,96,3
race,Caucasian,0.1,0.2,0.09523809523809523,63,3
race,Hispanic,0.1,0.2,0.0,14,3
race,Other,0.1,0.2,0.0,4,3
race,Caucasian,0.1,0.2,0.21428571428571427,28,4
race,African-American,0.1,0.2,0.125,96,4
race,Hispanic,0.1,0.2,0.0,9,4
race,Other,0.1,0.2,0.1111111111111111,9,4
race,African-American,0.2,0.3,0.24242424242424243,33,0
race,Hispanic,0.2,0.3,0.0,3,0
race,Caucasian,0.2,0.3,0.15789473684210525,19,0
race,Other,0.2,0.3,0.0,3,0
race,Other,0.2,0.3,1.0,1,1
race,Caucasian,0.2,0.3,0.0,12,1
race,African-American,0.2,0.3,0.17857142857142858,28,1
race,Hispanic,0.2,0.3,0.5,2,1
race,African-American,0.2,0.3,0.14285714285714285,49,2
race,Other,0.2,0.3,0.0,3,2
race,Caucasian,0.2,0.3,0.14285714285714285,14,2
race,Hispanic,0.2,0.3,0.5,2,2
race,African-American,0.2,0.3,0.18823529411764706,85,3
race,Caucasian,0.2,0.3,0.045454545454545456,22,3
race,Hispanic,0.2,0.3,0.125,8,3
race,Other,0.2,0.3,0.16666666666666666,6,3
race,Caucasian,0.2,0.3,0.2857142857142857,14,4
race,African-American,0.2,0.3,0.22916666666666666,48,4
race,Hispanic,0.2,0.3,0.0,5,4
race,Other,0.2,0.3,0.2,5,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
