Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.09523809523809523,21,0
race,Hispanic,0.3,0.4,0.0,7,0
race,Caucasian,0.3,0.4,0.04,25,0
race,Other,0.3,0.4,0.0,4,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,0.0,7,1
race,African-American,0.3,0.4,0.125,8,1
race,Hispanic,0.3,0.4,0.5,2,1
race,African-American,0.3,0.4,0.04,25,2
race,Other,0.3,0.4,0.0,3,2
race,Caucasian,0.3,0.4,0.11764705882352941,34,2
race,Hispanic,0.3,0.4,0.0,2,2
race,African-American,0.3,0.4,0.0,16,3
race,Caucasian,0.3,0.4,0.1,20,3
race,Hispanic,0.3,0.4,0.0,5,3
race,Other,0.3,0.4,0.0,3,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.1111111111111111,81,0
race,Hispanic,0.4,0.5,0.09090909090909091,11,0
race,Caucasian,0.4,0.5,0.11666666666666667,60,0
race,Other,0.4,0.5,0.0,8,0
race,Other,0.4,0.5,0.0,6,1
race,Caucasian,0.4,0.5,0.0821917808219178,73,1
race,African-American,0.4,0.5,0.12087912087912088,91,1
race,Hispanic,0.4,0.5,0.06666666666666667,15,1
race,African-American,0.4,0.5,0.04411764705882353,68,2
race,Other,0.4,0.5,0.2857142857142857,7,2
race,Caucasian,0.4,0.5,0.10869565217391304,46,2
race,Hispanic,0.4,0.5,0.1,10,2
race,African-American,0.4,0.5,0.11688311688311688,77,3
race,Caucasian,0.4,0.5,0.13114754098360656,61,3
race,Hispanic,0.4,0.5,0.0,11,3
race,Other,0.4,0.5,0.0,7,3
race,Caucasian,0.4,0.5,0.05,40,4
race,African-American,0.4,0.5,0.15,60,4
race,Hispanic,0.4,0.5,0.0,7,4
race,Other,0.4,0.5,0.16666666666666666,12,4
race,African-American,0.5,0.6,0.15384615384615385,104,0
race,Hispanic,0.5,0.6,0.0,5,0
race,Caucasian,0.5,0.6,0.1111111111111111,36,0
race,Other,0.5,0.6,0.1,10,0
race,Other,0.5,0.6,0.14285714285714285,7,1
race,Caucasian,0.5,0.6,0.08888888888888889,45,1
race,African-American,0.5,0.6,0.11304347826086956,115,1
race,Hispanic,0.5,0.6,0.2,10,1
race,African-American,0.5,0.6,0.16822429906542055,107,2
