Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.018518518518518517,162,0
race,Hispanic,0.0,0.1,0.0,19,0
race,Caucasian,0.0,0.1,0.04716981132075472,106,0
race,Other,0.0,0.1,0.0,19,0
race,Other,0.0,0.1,0.0,11,1
race,Caucasian,0.0,0.1,0.009433962264150943,106,1
race,African-American,0.0,0.1,0.041666666666666664,168,1
race,Hispanic,0.0,0.1,0.0,22,1
race,African-American,0.0,0.1,0.02247191011235955,178,2
race,Other,0.0,0.1,0.0,14,2
race,Caucasian,0.0,0.1,0.05084745762711865,118,2
race,Hispanic,0.0,0.1,0.0,16,2
race,African-American,0.0,0.1,0.029411764705882353,170,3
race,Caucasian,0.0,0.1,0.049019607843137254,102,3
race,Hispanic,0.0,0.1,0.0,23,3
race,Other,0.0,0.1,0.0,16,3
race,Caucasian,0.0,0.1,0.04938271604938271,81,4
race,African-American,0.0,0.1,0.028089887640449437,178,4
race,Hispanic,0.0,0.1,0.0,22,4
race,Other,0.0,0.1,0.0,22,4
race,African-American,0.1,0.2,0.08695652173913043,46,0
race,Hispanic,0.1,0.2,0.0,4,0
race,Caucasian,0.1,0.2,0.08333333333333333,12,0
race,Other,0.1,0.2,0.0,4,0
race,Other,0.1,0.2,0.0,3,1
race,Caucasian,0.1,0.2,0.11764705882352941,17,1
race,African-American,0.1,0.2,0.15217391304347827,46,1
race,Hispanic,0.1,0.2,0.25,4,1
race,African-American,0.1,0.2,0.15,40,2
race,Other,0.1,0.2,0.0,5,2
race,Caucasian,0.1,0.2,0.15384615384615385,13,2
race,Hispanic,0.1,0.2,0.0,2,2
race,African-American,0.1,0.2,0.09615384615384616,52,3
race,Caucasian,0.1,0.2,0.17647058823529413,17,3
race,Hispanic,0.1,0.2,0.0,6,3
race,Other,0.1,0.2,0.5,2,3
race,Caucasian,0.1,0.2,0.2,15,4
race,African-American,0.1,0.2,0.11538461538461539,52,4
race,Hispanic,0.1,0.2,0.0,4,4
race,Other,0.1,0.2,0.16666666666666666,6,4
race,African-American,0.2,0.3,0.18181818181818182,11,0
race,Hispanic,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.0,5,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,4,1
race,African-American,0.2,0.3,0.2222222222222222,9,1
race,Hispanic,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,0.5,4,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,0.0,2,3
race,Caucasian,0.2,0.3,1.0,1,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.3333333333333333,3,4
race,African-American,0.2,0.3,0.4,5,4
race,Hispanic,0.2,0.3,0.5,2,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
