Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,0.0,5,2
race,Other,0.1,0.2,0.0,2,2
race,Caucasian,0.1,0.2,0.0,6,2
race,Hispanic,0.1,0.2,0.0,1,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.0,30,0
race,Hispanic,0.2,0.3,0.0,4,0
race,Caucasian,0.2,0.3,0.05263157894736842,38,0
race,Other,0.2,0.3,0.0,8,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.030303030303030304,33,2
race,Other,0.2,0.3,0.0,2,2
race,Caucasian,0.2,0.3,0.0,31,2
race,Hispanic,0.2,0.3,0.0,4,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,27,4
race,African-American,0.2,0.3,0.0,28,4
race,Hispanic,0.2,0.3,0.0,5,4
race,Other,0.2,0.3,0.0,5,4
race,African-American,0.3,0.4,0.017857142857142856,56,0
race,Hispanic,0.3,0.4,0.0,10,0
race,Caucasian,0.3,0.4,0.02631578947368421,38,0
race,Other,0.3,0.4,0.0,6,0
race,Other,0.3,0.4,0.0,6,1
race,Caucasian,0.3,0.4,0.017857142857142856,56,1
race,African-American,0.3,0.4,0.029411764705882353,68,1
race,Hispanic,0.3,0.4,0.0,12,1
race,African-American,0.3,0.4,0.017543859649122806,57,2
race,Other,0.3,0.4,0.0,6,2
race,Caucasian,0.3,0.4,0.046511627906976744,43,2
race,Hispanic,0.3,0.4,0.0,7,2
race,African-American,0.3,0.4,0.016666666666666666,60,3
race,Caucasian,0.3,0.4,0.07017543859649122,57,3
race,Hispanic,0.3,0.4,0.0,13,3
race,Other,0.3,0.4,0.0,6,3
race,Caucasian,0.3,0.4,0.03571428571428571,28,4
race,African-American,0.3,0.4,0.04054054054054054,74,4
race,Hispanic,0.3,0.4,0.0,9,4
race,Other,0.3,0.4,0.0,11,4
race,African-American,0.4,0.5,0.023255813953488372,43,0
race,Hispanic,0.4,0.5,0.0,3,0
race,Caucasian,0.4,0.5,0.0,14,0
race,Other,0.4,0.5,0.0,4,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,0.024390243902439025,41,1
race,African-American,0.4,0.5,0.014084507042253521,71,1
race,Hispanic,0.4,0.5,0.0,5,1
race,African-American,0.4,0.5,0.03508771929824561,57,2
race,Other,0.4,0.5,0.0,2,2
race,Caucasian,0.4,0.5,0.037037037037037035,27,2
race,Hispanic,0.4,0.5,0.0,3,2
race,African-American,0.4,0.5,0.01639344262295082,61,3
race,Caucasian,0.4,0.5,0.0,25,3
race,Hispanic,0.4,0.5,0.0,5,3
race,Other,0.4,0.5,0.0,6,3
race,Caucasian,0.4,0.5,0.0625,16,4
race,African-American,0.4,0.5,0.044444444444444446,45,4
race,Hispanic,0.4,0.5,0.0,6,4
race,Other,0.4,0.5,0.0,2,4
race,African-American,0.5,0.6,0.030303030303030304,33,0
race,Hispanic,0.5,0.6,0.0,2,0
race,Caucasian,0.5,0.6,0.125,16,0
race,Other,0.5,0.6,0.0,1,0
race,Other,0.5,0.6,0.0,5,1
race,Caucasian,0.5,0.6,0.0625,16,1
