Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.038461538461538464,130,0
race,Hispanic,0.0,0.1,0.0,16,0
race,Caucasian,0.0,0.1,0.05952380952380952,84,0
race,Other,0.0,0.1,0.0,11,0
race,Other,0.0,0.1,0.14285714285714285,7,1
race,Caucasian,0.0,0.1,0.04938271604938271,81,1
race,African-American,0.0,0.1,0.07936507936507936,126,1
race,Hispanic,0.0,0.1,0.0,15,1
race,African-American,0.0,0.1,0.04225352112676056,142,2
race,Other,0.0,0.1,0.0,16,2
race,Caucasian,0.0,0.1,0.022222222222222223,90,2
race,Hispanic,0.0,0.1,0.0,12,2
race,African-American,0.0,0.1,0.02877697841726619,139,3
race,Caucasian,0.0,0.1,0.057971014492753624,69,3
race,Hispanic,0.0,0.1,0.05,20,3
race,Other,0.0,0.1,0.0,12,3
race,Caucasian,0.0,0.1,0.06666666666666667,60,4
race,African-American,0.0,0.1,0.06896551724137931,145,4
race,Hispanic,0.0,0.1,0.0,19,4
race,Other,0.0,0.1,0.0,15,4
race,African-American,0.1,0.2,0.1206896551724138,58,0
race,Hispanic,0.1,0.2,0.0,5,0
race,Caucasian,0.1,0.2,0.03333333333333333,30,0
race,Other,0.1,0.2,0.1,10,0
race,Other,0.1,0.2,0.0,7,1
race,Caucasian,0.1,0.2,0.0975609756097561,41,1
race,African-American,0.1,0.2,0.14473684210526316,76,1
race,Hispanic,0.1,0.2,0.1111111111111111,9,1
race,African-American,0.1,0.2,0.14285714285714285,63,2
race,Other,0.1,0.2,0.3333333333333333,3,2
race,Caucasian,0.1,0.2,0.12121212121212122,33,2
race,Hispanic,0.1,0.2,0.4,5,2
race,African-American,0.1,0.2,0.1875,64,3
race,Caucasian,0.1,0.2,0.23076923076923078,39,3
race,Hispanic,0.1,0.2,0.0,8,3
race,Other,0.1,0.2,0.3333333333333333,6,3
race,Caucasian,0.1,0.2,0.10714285714285714,28,4
race,African-American,0.1,0.2,0.09523809523809523,63,4
race,Hispanic,0.1,0.2,0.0,9,4
race,Other,0.1,0.2,0.1,10,4
race,African-American,0.2,0.3,0.13793103448275862,29,0
race,Hispanic,0.2,0.3,0.0,2,0
race,Caucasian,0.2,0.3,0.1,10,0
race,Other,0.2,0.3,0.0,2,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.2,5,1
race,African-American,0.2,0.3,0.23809523809523808,21,1
race,Hispanic,0.2,0.3,0.0,3,1
race,African-American,0.2,0.3,0.23529411764705882,17,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.25,8,2
race,Hispanic,0.2,0.3,0.0,2,2
race,African-American,0.2,0.3,0.23809523809523808,21,3
race,Caucasian,0.2,0.3,0.25,12,3
race,Hispanic,0.2,0.3,0.0,1,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.6,10,4
race,African-American,0.2,0.3,0.15384615384615385,26,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,0.0,3,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.0,3,0
race,Hispanic,0.5,0.6,0.0,1,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Hispanic,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Hispanic,0.5,0.6,,0,2
race,African-American,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,3
race,Hispanic,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,1,4
race,African-American,0.5,0.6,0.0,1,4
race,Hispanic,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Hispanic,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Hispanic,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Hispanic,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Hispanic,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,Hispanic,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Hispanic,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Hispanic,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Hispanic,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Hispanic,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,Hispanic,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Hispanic,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Hispanic,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Hispanic,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Hispanic,0.9,1.0,,0,2
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,Hispanic,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Hispanic,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.04285714285714286,210,0
sex,female,0.0,0.1,0.03225806451612903,31,0
sex,male,0.0,0.1,0.06598984771573604,197,1
sex,female,0.0,0.1,0.0625,32,1
sex,male,0.0,0.1,0.03111111111111111,225,2
sex,female,0.0,0.1,0.02857142857142857,35,2
sex,male,0.0,0.1,0.037037037037037035,216,3
sex,female,0.0,0.1,0.041666666666666664,24,3
sex,male,0.0,0.1,0.0625,208,4
sex,female,0.0,0.1,0.03225806451612903,31,4
sex,male,0.1,0.2,0.10227272727272728,88,0
sex,female,0.1,0.2,0.0,15,0
sex,male,0.1,0.2,0.12173913043478261,115,1
sex,female,0.1,0.2,0.1111111111111111,18,1
sex,male,0.1,0.2,0.17204301075268819,93,2
sex,female,0.1,0.2,0.0,11,2
sex,male,0.1,0.2,0.21359223300970873,103,3
sex,female,0.1,0.2,0.07142857142857142,14,3
sex,male,0.1,0.2,0.0967741935483871,93,4
sex,female,0.1,0.2,0.058823529411764705,17,4
sex,male,0.2,0.3,0.1,40,0
sex,female,0.2,0.3,0.3333333333333333,3,0
sex,male,0.2,0.3,0.2222222222222222,27,1
sex,female,0.2,0.3,0.0,2,1
sex,male,0.2,0.3,0.23809523809523808,21,2
sex,female,0.2,0.3,0.16666666666666666,6,2
sex,male,0.2,0.3,0.2413793103448276,29,3
sex,female,0.2,0.3,0.2,5,3
sex,male,0.2,0.3,0.2647058823529412,34,4
sex,female,0.2,0.3,0.2,5,4
sex,male,0.3,0.4,,0,0
sex,female,0.3,0.4,,0,0
sex,male,0.3,0.4,,0,1
sex,female,0.3,0.4,,0,1
sex,male,0.3,0.4,,0,2
