Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.034782608695652174,115,0
race,Hispanic,0.0,0.1,0.0,13,0
race,Caucasian,0.0,0.1,0.02666666666666667,75,0
race,Other,0.0,0.1,0.0,11,0
race,Other,0.0,0.1,0.14285714285714285,7,1
race,Caucasian,0.0,0.1,0.045454545454545456,88,1
race,African-American,0.0,0.1,0.08196721311475409,122,1
race,Hispanic,0.0,0.1,0.0,15,1
race,African-American,0.0,0.1,0.03669724770642202,109,2
race,Other,0.0,0.1,0.0,11,2
race,Caucasian,0.0,0.1,0.02631578947368421,76,2
race,Hispanic,0.0,0.1,0.0,10,2
race,African-American,0.0,0.1,0.03418803418803419,117,3
race,Caucasian,0.0,0.1,0.017543859649122806,57,3
race,Hispanic,0.0,0.1,0.07142857142857142,14,3
race,Other,0.0,0.1,0.0,13,3
race,Caucasian,0.0,0.1,0.057971014492753624,69,4
race,African-American,0.0,0.1,0.07236842105263158,152,4
race,Hispanic,0.0,0.1,0.0,22,4
race,Other,0.0,0.1,0.0,18,4
race,African-American,0.1,0.2,0.11627906976744186,86,0
race,Hispanic,0.1,0.2,0.0,8,0
race,Caucasian,0.1,0.2,0.11904761904761904,42,0
race,Other,0.1,0.2,0.1,10,0
race,Other,0.1,0.2,0.0,5,1
race,Caucasian,0.1,0.2,0.09090909090909091,33,1
race,African-American,0.1,0.2,0.14666666666666667,75,1
race,Hispanic,0.1,0.2,0.1,10,1
race,African-American,0.1,0.2,0.10869565217391304,92,2
race,Other,0.1,0.2,0.125,8,2
race,Caucasian,0.1,0.2,0.06976744186046512,43,2
race,Hispanic,0.1,0.2,0.3333333333333333,6,2
race,African-American,0.1,0.2,0.13414634146341464,82,3
race,Caucasian,0.1,0.2,0.21153846153846154,52,3
race,Hispanic,0.1,0.2,0.0,13,3
race,Other,0.1,0.2,0.4,5,3
race,Caucasian,0.1,0.2,0.18181818181818182,22,4
race,African-American,0.1,0.2,0.08064516129032258,62,4
race,Hispanic,0.1,0.2,0.0,6,4
race,Other,0.1,0.2,0.125,8,4
race,African-American,0.2,0.3,0.10526315789473684,19,0
race,Hispanic,0.2,0.3,0.0,3,0
race,Caucasian,0.2,0.3,0.0,7,0
race,Other,0.2,0.3,0.0,2,0
race,Other,0.2,0.3,0.0,2,1
race,Caucasian,0.2,0.3,0.3333333333333333,6,1
race,African-American,0.2,0.3,0.19230769230769232,26,1
race,Hispanic,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,0.23809523809523808,21,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.25,12,2
race,Hispanic,0.2,0.3,0.0,3,2
race,African-American,0.2,0.3,0.24,25,3
race,Caucasian,0.2,0.3,0.36363636363636365,11,3
race,Hispanic,0.2,0.3,0.0,2,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.625,8,4
race,African-American,0.2,0.3,0.19047619047619047,21,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,0.0,2,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
