Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.12903225806451613,31,0
race,Hispanic,0.0,0.1,0.0,5,0
race,Caucasian,0.0,0.1,0.0975609756097561,41,0
race,Other,0.0,0.1,0.5,6,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,0.16666666666666666,24,3
race,Caucasian,0.0,0.1,0.2222222222222222,36,3
race,Hispanic,0.0,0.1,0.0,8,3
race,Other,0.0,0.1,0.3333333333333333,6,3
race,Caucasian,0.0,0.1,0.06451612903225806,31,4
race,African-American,0.0,0.1,0.1,30,4
race,Hispanic,0.0,0.1,0.0,6,4
race,Other,0.0,0.1,0.1,10,4
race,African-American,0.1,0.2,0.18888888888888888,90,0
race,Hispanic,0.1,0.2,0.0,13,0
race,Caucasian,0.1,0.2,0.15,60,0
race,Other,0.1,0.2,0.08333333333333333,12,0
race,Other,0.1,0.2,0.09090909090909091,11,1
race,Caucasian,0.1,0.2,0.10101010101010101,99,1
race,African-American,0.1,0.2,0.15441176470588236,136,1
race,Hispanic,0.1,0.2,0.1,20,1
race,African-American,0.1,0.2,0.2112676056338028,142,2
race,Other,0.1,0.2,0.14285714285714285,14,2
race,Caucasian,0.1,0.2,0.13131313131313133,99,2
race,Hispanic,0.1,0.2,0.25,12,2
race,African-American,0.1,0.2,0.1557377049180328,122,3
race,Caucasian,0.1,0.2,0.11290322580645161,62,3
race,Hispanic,0.1,0.2,0.0625,16,3
race,Other,0.1,0.2,0.08333333333333333,12,3
race,Caucasian,0.1,0.2,0.1111111111111111,36,4
race,African-American,0.1,0.2,0.15178571428571427,112,4
race,Hispanic,0.1,0.2,0.0,16,4
