Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,0.125,16,0
race,Hispanic,0.1,0.2,0.0,3,0
race,Caucasian,0.1,0.2,0.391304347826087,23,0
race,Other,0.1,0.2,0.6666666666666666,3,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,0.16666666666666666,6,3
race,Caucasian,0.1,0.2,0.3076923076923077,13,3
race,Hispanic,0.1,0.2,0.0,1,3
race,Other,0.1,0.2,0.6666666666666666,3,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.5084745762711864,59,0
race,Hispanic,0.2,0.3,0.36363636363636365,11,0
race,Caucasian,0.2,0.3,0.23076923076923078,39,0
race,Other,0.2,0.3,0.5,6,0
race,Other,0.2,0.3,0.16666666666666666,6,1
race,Caucasian,0.2,0.3,0.25,48,1
race,African-American,0.2,0.3,0.2830188679245283,53,1
race,Hispanic,0.2,0.3,0.36363636363636365,11,1
race,African-American,0.2,0.3,0.3728813559322034,59,2
race,Other,0.2,0.3,0.5714285714285714,7,2
race,Caucasian,0.2,0.3,0.3225806451612903,62,2
race,Hispanic,0.2,0.3,0.375,8,2
race,African-American,0.2,0.3,0.23809523809523808,42,3
race,Caucasian,0.2,0.3,0.42105263157894735,38,3
race,Hispanic,0.2,0.3,0.0,11,3
race,Other,0.2,0.3,0.5,6,3
race,Caucasian,0.2,0.3,0.23404255319148937,47,4
race,African-American,0.2,0.3,0.3148148148148148,54,4
race,Hispanic,0.2,0.3,0.2222222222222222,9,4
race,Other,0.2,0.3,0.08333333333333333,12,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.5363636363636364,110,0
race,Hispanic,0.5,0.6,0.1111111111111111,9,0
race,Caucasian,0.5,0.6,0.5087719298245614,57,0
race,Other,0.5,0.6,0.25,12,0
race,Other,0.5,0.6,0.3333333333333333,6,1
race,Caucasian,0.5,0.6,0.4057971014492754,69,1
race,African-American,0.5,0.6,0.5,130,1
race,Hispanic,0.5,0.6,0.375,16,1
