Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.0,5,0
race,Hispanic,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.4,10,0
race,Other,0.2,0.3,0.0,1,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.5,2,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.3076923076923077,26,0
race,Hispanic,0.3,0.4,0.25,8,0
race,Caucasian,0.3,0.4,0.25,28,0
race,Other,0.3,0.4,0.625,8,0
race,Other,0.3,0.4,0.0,5,1
race,Caucasian,0.3,0.4,0.2222222222222222,36,1
race,African-American,0.3,0.4,0.2857142857142857,28,1
race,Hispanic,0.3,0.4,0.5,6,1
race,African-American,0.3,0.4,0.4318181818181818,44,2
race,Other,0.3,0.4,0.5,4,2
race,Caucasian,0.3,0.4,0.3333333333333333,48,2
race,Hispanic,0.3,0.4,0.375,8,2
race,African-American,0.3,0.4,0.1875,32,3
race,Caucasian,0.3,0.4,0.34285714285714286,35,3
race,Hispanic,0.3,0.4,0.0,10,3
race,Other,0.3,0.4,0.5,4,3
race,Caucasian,0.3,0.4,0.18421052631578946,38,4
race,African-American,0.3,0.4,0.3333333333333333,33,4
race,Hispanic,0.3,0.4,0.25,8,4
race,Other,0.3,0.4,0.18181818181818182,11,4
race,African-American,0.4,0.5,0.48,50,0
race,Hispanic,0.4,0.5,0.3333333333333333,6,0
race,Caucasian,0.4,0.5,0.3548387096774194,31,0
race,Other,0.4,0.5,0.3333333333333333,3,0
race,Other,0.4,0.5,1.0,1,1
race,Caucasian,0.4,0.5,0.2857142857142857,35,1
race,African-American,0.4,0.5,0.3333333333333333,54,1
race,Hispanic,0.4,0.5,0.25,8,1
race,African-American,0.4,0.5,0.25,32,2
race,Other,0.4,0.5,0.25,4,2
race,Caucasian,0.4,0.5,0.2916666666666667,24,2
race,Hispanic,0.4,0.5,0.3333333333333333,3,2
race,African-American,0.4,0.5,0.3448275862068966,29,3
race,Caucasian,0.4,0.5,0.42105263157894735,38,3
race,Hispanic,0.4,0.5,0.0,3,3
race,Other,0.4,0.5,0.6666666666666666,6,3
race,Caucasian,0.4,0.5,0.52,25,4
race,African-American,0.4,0.5,0.34545454545454546,55,4
race,Hispanic,0.4,0.5,0.4,5,4
race,Other,0.4,0.5,0.2,5,4
race,African-American,0.5,0.6,0.5679012345679012,81,0
race,Hispanic,0.5,0.6,0.125,8,0
race,Caucasian,0.5,0.6,0.5333333333333333,45,0
race,Other,0.5,0.6,0.0,5,0
race,Other,0.5,0.6,0.3333333333333333,6,1
race,Caucasian,0.5,0.6,0.3684210526315789,38,1
