Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.25,72,0
race,Hispanic,0.0,0.1,0.2857142857142857,14,0
race,Caucasian,0.0,0.1,0.2222222222222222,54,0
race,Other,0.0,0.1,0.0,6,0
race,Other,0.0,0.1,0.0,1,1
race,Caucasian,0.0,0.1,0.06896551724137931,29,1
race,African-American,0.0,0.1,0.20930232558139536,43,1
race,Hispanic,0.0,0.1,0.16666666666666666,6,1
race,African-American,0.0,0.1,0.17142857142857143,70,2
race,Other,0.0,0.1,0.3333333333333333,12,2
race,Caucasian,0.0,0.1,0.16666666666666666,54,2
race,Hispanic,0.0,0.1,0.125,8,2
race,African-American,0.0,0.1,0.1111111111111111,36,3
race,Caucasian,0.0,0.1,0.21052631578947367,38,3
race,Hispanic,0.0,0.1,0.0,11,3
race,Other,0.0,0.1,0.25,4,3
race,Caucasian,0.0,0.1,0.14634146341463414,41,4
race,African-American,0.0,0.1,0.2,50,4
race,Hispanic,0.0,0.1,0.25,8,4
race,Other,0.0,0.1,0.18181818181818182,11,4
race,African-American,0.1,0.2,0.3389830508474576,118,0
race,Hispanic,0.1,0.2,0.125,8,0
race,Caucasian,0.1,0.2,0.19672131147540983,61,0
race,Other,0.1,0.2,0.07142857142857142,14,0
race,Other,0.1,0.2,0.18181818181818182,11,1
race,Caucasian,0.1,0.2,0.23157894736842105,95,1
race,African-American,0.1,0.2,0.27647058823529413,170,1
race,Hispanic,0.1,0.2,0.2777777777777778,18,1
race,African-American,0.1,0.2,0.2975206611570248,121,2
race,Other,0.1,0.2,0.3333333333333333,6,2
race,Caucasian,0.1,0.2,0.3559322033898305,59,2
race,Hispanic,0.1,0.2,0.2,10,2
race,African-American,0.1,0.2,0.34972677595628415,183,3
race,Caucasian,0.1,0.2,0.2682926829268293,82,3
race,Hispanic,0.1,0.2,0.35294117647058826,17,3
race,Other,0.1,0.2,0.3076923076923077,13,3
race,Caucasian,0.1,0.2,0.37735849056603776,53,4
race,African-American,0.1,0.2,0.2727272727272727,176,4
race,Hispanic,0.1,0.2,0.2,20,4
