Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.16666666666666666,6,0
race,Hispanic,0.0,0.1,0.0,2,0
race,Caucasian,0.0,0.1,0.3333333333333333,12,0
race,Other,0.0,0.1,0.0,2,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,0.0,4,4
race,African-American,0.0,0.1,0.3333333333333333,6,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,0.5,2,4
race,African-American,0.1,0.2,0.2459016393442623,61,0
race,Hispanic,0.1,0.2,0.3,10,0
race,Caucasian,0.1,0.2,0.20454545454545456,44,0
race,Other,0.1,0.2,0.16666666666666666,6,0
race,Other,0.1,0.2,0.2,5,1
race,Caucasian,0.1,0.2,0.21212121212121213,33,1
race,African-American,0.1,0.2,0.1111111111111111,27,1
race,Hispanic,0.1,0.2,0.2222222222222222,9,1
race,African-American,0.1,0.2,0.0,17,2
race,Other,0.1,0.2,0.3333333333333333,3,2
race,Caucasian,0.1,0.2,0.14705882352941177,34,2
race,Hispanic,0.1,0.2,0.25,4,2
race,African-American,0.1,0.2,0.05555555555555555,18,3
race,Caucasian,0.1,0.2,0.17142857142857143,35,3
race,Hispanic,0.1,0.2,0.0,8,3
race,Other,0.1,0.2,0.25,4,3
race,Caucasian,0.1,0.2,0.28205128205128205,39,4
race,African-American,0.1,0.2,0.22807017543859648,57,4
race,Hispanic,0.1,0.2,0.2727272727272727,11,4
race,Other,0.1,0.2,0.1111111111111111,9,4
race,African-American,0.2,0.3,0.328125,128,0
race,Hispanic,0.2,0.3,0.18181818181818182,11,0
race,Caucasian,0.2,0.3,0.21875,64,0
race,Other,0.2,0.3,0.07142857142857142,14,0
race,Other,0.2,0.3,0.14285714285714285,7,1
race,Caucasian,0.2,0.3,0.20454545454545456,88,1
race,African-American,0.2,0.3,0.28160919540229884,174,1
race,Hispanic,0.2,0.3,0.2222222222222222,18,1
race,African-American,0.2,0.3,0.29891304347826086,184,2
race,Other,0.2,0.3,0.4375,16,2
race,Caucasian,0.2,0.3,0.3146067415730337,89,2
race,Hispanic,0.2,0.3,0.23076923076923078,13,2
race,African-American,0.2,0.3,0.31868131868131866,182,3
race,Caucasian,0.2,0.3,0.2564102564102564,78,3
race,Hispanic,0.2,0.3,0.29411764705882354,17,3
race,Other,0.2,0.3,0.3333333333333333,12,3
race,Caucasian,0.2,0.3,0.275,40,4
race,African-American,0.2,0.3,0.2542372881355932,118,4
race,Hispanic,0.2,0.3,0.07692307692307693,13,4
race,Other,0.2,0.3,0.1,10,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.44,25,0
race,Hispanic,0.5,0.6,0.0,1,0
race,Caucasian,0.5,0.6,0.25,4,0
race,Other,0.5,0.6,1.0,1,0
race,Other,0.5,0.6,1.0,2,1
race,Caucasian,0.5,0.6,0.5,6,1
race,African-American,0.5,0.6,0.36363636363636365,22,1
race,Hispanic,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.38095238095238093,21,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.5,8,2
race,Hispanic,0.5,0.6,0.0,2,2
race,African-American,0.5,0.6,0.5416666666666666,24,3
race,Caucasian,0.5,0.6,0.42857142857142855,7,3
race,Hispanic,0.5,0.6,0.25,4,3
race,Other,0.5,0.6,0.5,2,3
race,Caucasian,0.5,0.6,0.3125,16,4
race,African-American,0.5,0.6,0.37037037037037035,54,4
race,Hispanic,0.5,0.6,0.5,4,4
race,Other,0.5,0.6,0.42857142857142855,7,4
race,African-American,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Hispanic,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Hispanic,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Hispanic,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Hispanic,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,Hispanic,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Hispanic,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Hispanic,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Hispanic,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Hispanic,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,Hispanic,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Hispanic,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Hispanic,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Hispanic,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Hispanic,0.9,1.0,,0,2
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,Hispanic,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Hispanic,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.125,16,0
sex,female,0.0,0.1,0.5,6,0
sex,male,0.0,0.1,,0,1
sex,female,0.0,0.1,,0,1
sex,male,0.0,0.1,,0,2
sex,female,0.0,0.1,,0,2
sex,male,0.0,0.1,,0,3
sex,female,0.0,0.1,,0,3
sex,male,0.0,0.1,0.25,12,4
sex,female,0.0,0.1,,0,4
sex,male,0.1,0.2,0.2403846153846154,104,0
sex,female,0.1,0.2,0.17647058823529413,17,0
sex,male,0.1,0.2,0.15151515151515152,66,1
sex,female,0.1,0.2,0.375,8,1
sex,male,0.1,0.2,0.13636363636363635,44,2
sex,female,0.1,0.2,0.07142857142857142,14,2
