Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,2,0
race,Other,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Hispanic,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.2631578947368421,19,0
race,Hispanic,0.3,0.4,0.3333333333333333,9,0
race,Caucasian,0.3,0.4,0.3333333333333333,24,0
race,Other,0.3,0.4,0.0,5,0
race,Other,0.3,0.4,0.0,2,1
race,Caucasian,0.3,0.4,0.0,16,1
race,African-American,0.3,0.4,0.22727272727272727,22,1
race,Hispanic,0.3,0.4,0.3333333333333333,3,1
race,African-American,0.3,0.4,0.058823529411764705,17,2
race,Other,0.3,0.4,0.0,3,2
race,Caucasian,0.3,0.4,0.25,24,2
race,Hispanic,0.3,0.4,0.0,1,2
race,African-American,0.3,0.4,0.0,7,3
race,Caucasian,0.3,0.4,0.16666666666666666,12,3
race,Hispanic,0.3,0.4,0.0,3,3
race,Other,0.3,0.4,0.5,2,3
race,Caucasian,0.3,0.4,0.1111111111111111,27,4
race,African-American,0.3,0.4,0.13636363636363635,22,4
race,Hispanic,0.3,0.4,0.6666666666666666,3,4
race,Other,0.3,0.4,0.25,8,4
race,African-American,0.4,0.5,0.2916666666666667,72,0
race,Hispanic,0.4,0.5,0.0,4,0
race,Caucasian,0.4,0.5,0.17073170731707318,41,0
race,Other,0.4,0.5,0.16666666666666666,6,0
race,Other,0.4,0.5,0.2857142857142857,7,1
race,Caucasian,0.4,0.5,0.16666666666666666,60,1
race,African-American,0.4,0.5,0.19753086419753085,81,1
race,Hispanic,0.4,0.5,0.13333333333333333,15,1
race,African-American,0.4,0.5,0.23529411764705882,85,2
race,Other,0.4,0.5,0.4,10,2
race,Caucasian,0.4,0.5,0.21568627450980393,51,2
race,Hispanic,0.4,0.5,0.23076923076923078,13,2
race,African-American,0.4,0.5,0.25,84,3
race,Caucasian,0.4,0.5,0.22580645161290322,62,3
race,Hispanic,0.4,0.5,0.0,10,3
race,Other,0.4,0.5,0.125,8,3
race,Caucasian,0.4,0.5,0.3333333333333333,42,4
race,African-American,0.4,0.5,0.22448979591836735,98,4
race,Hispanic,0.4,0.5,0.0,11,4
race,Other,0.4,0.5,0.0,10,4
race,African-American,0.5,0.6,0.330188679245283,106,0
race,Hispanic,0.5,0.6,0.2222222222222222,9,0
race,Caucasian,0.5,0.6,0.18181818181818182,44,0
race,Other,0.5,0.6,0.18181818181818182,11,0
race,Other,0.5,0.6,0.25,4,1
race,Caucasian,0.5,0.6,0.28888888888888886,45,1
