Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.031746031746031744,126,0
race,Hispanic,0.0,0.1,0.0,14,0
race,Caucasian,0.0,0.1,0.04878048780487805,82,0
race,Other,0.0,0.1,0.0,17,0
race,Other,0.0,0.1,0.1,10,1
race,Caucasian,0.0,0.1,0.03296703296703297,91,1
race,African-American,0.0,0.1,0.040268456375838924,149,1
race,Hispanic,0.0,0.1,0.0,18,1
race,African-American,0.0,0.1,0.03676470588235294,136,2
race,Other,0.0,0.1,0.0,10,2
race,Caucasian,0.0,0.1,0.042105263157894736,95,2
race,Hispanic,0.0,0.1,0.07142857142857142,14,2
race,African-American,0.0,0.1,0.05970149253731343,134,3
race,Caucasian,0.0,0.1,0.05333333333333334,75,3
race,Hispanic,0.0,0.1,0.0,21,3
race,Other,0.0,0.1,0.0625,16,3
race,Caucasian,0.0,0.1,0.04411764705882353,68,4
race,African-American,0.0,0.1,0.058823529411764705,153,4
race,Hispanic,0.0,0.1,0.0,20,4
race,Other,0.0,0.1,0.0,18,4
race,African-American,0.1,0.2,0.11627906976744186,43,0
race,Hispanic,0.1,0.2,0.0,5,0
race,Caucasian,0.1,0.2,0.11538461538461539,26,0
race,Other,0.1,0.2,0.25,4,0
race,Other,0.1,0.2,0.0,4,1
race,Caucasian,0.1,0.2,0.08,25,1
race,African-American,0.1,0.2,0.20930232558139536,43,1
race,Hispanic,0.1,0.2,0.2,5,1
race,African-American,0.1,0.2,0.08695652173913043,46,2
race,Other,0.1,0.2,0.0,4,2
race,Caucasian,0.1,0.2,0.19230769230769232,26,2
race,Hispanic,0.1,0.2,0.0,3,2
race,African-American,0.1,0.2,0.1320754716981132,53,3
race,Caucasian,0.1,0.2,0.0,25,3
race,Hispanic,0.1,0.2,0.0,6,3
race,Other,0.1,0.2,0.5,2,3
race,Caucasian,0.1,0.2,0.047619047619047616,21,4
race,African-American,0.1,0.2,0.16666666666666666,48,4
race,Hispanic,0.1,0.2,0.0,3,4
race,Other,0.1,0.2,0.1111111111111111,9,4
race,African-American,0.2,0.3,0.21951219512195122,41,0
race,Hispanic,0.2,0.3,0.0,3,0
race,Caucasian,0.2,0.3,0.3,10,0
race,Other,0.2,0.3,0.0,2,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.3333333333333333,9,1
race,African-American,0.2,0.3,0.14285714285714285,28,1
race,Hispanic,0.2,0.3,0.3333333333333333,3,1
race,African-American,0.2,0.3,0.23684210526315788,38,2
race,Other,0.2,0.3,0.4,5,2
race,Caucasian,0.2,0.3,0.4444444444444444,9,2
race,Hispanic,0.2,0.3,0.5,2,2
