Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.036231884057971016,138,0
race,Hispanic,0.0,0.1,0.0,15,0
race,Caucasian,0.0,0.1,0.05434782608695652,92,0
race,Other,0.0,0.1,0.058823529411764705,17,0
race,Other,0.0,0.1,0.125,8,1
race,Caucasian,0.0,0.1,0.023809523809523808,84,1
race,African-American,0.0,0.1,0.04032258064516129,124,1
race,Hispanic,0.0,0.1,0.0,13,1
race,African-American,0.0,0.1,0.028985507246376812,138,2
race,Other,0.0,0.1,0.08333333333333333,12,2
race,Caucasian,0.0,0.1,0.04950495049504951,101,2
race,Hispanic,0.0,0.1,0.07142857142857142,14,2
race,African-American,0.0,0.1,0.045454545454545456,132,3
race,Caucasian,0.0,0.1,0.04597701149425287,87,3
race,Hispanic,0.0,0.1,0.0,22,3
race,Other,0.0,0.1,0.0625,16,3
race,Caucasian,0.0,0.1,0.04411764705882353,68,4
race,African-American,0.0,0.1,0.06338028169014084,142,4
race,Hispanic,0.0,0.1,0.045454545454545456,22,4
race,Other,0.0,0.1,0.0,20,4
race,African-American,0.1,0.2,0.17543859649122806,57,0
race,Hispanic,0.1,0.2,0.0,7,0
race,Caucasian,0.1,0.2,0.19047619047619047,21,0
race,Other,0.1,0.2,0.0,5,0
race,Other,0.1,0.2,0.0,3,1
race,Caucasian,0.1,0.2,0.1,30,1
race,African-American,0.1,0.2,0.1111111111111111,63,1
race,Hispanic,0.1,0.2,0.1111111111111111,9,1
race,African-American,0.1,0.2,0.09090909090909091,44,2
race,Other,0.1,0.2,0.0,4,2
race,Caucasian,0.1,0.2,0.16666666666666666,18,2
race,Hispanic,0.1,0.2,0.0,3,2
race,African-American,0.1,0.2,0.16981132075471697,53,3
race,Caucasian,0.1,0.2,0.09523809523809523,21,3
race,Hispanic,0.1,0.2,0.0,4,3
race,Other,0.1,0.2,0.5,2,3
race,Caucasian,0.1,0.2,0.13043478260869565,23,4
race,African-American,0.1,0.2,0.18461538461538463,65,4
race,Hispanic,0.1,0.2,0.2,5,4
race,Other,0.1,0.2,0.0,3,4
race,African-American,0.2,0.3,0.23809523809523808,21,0
race,Hispanic,0.2,0.3,0.0,2,0
race,Caucasian,0.2,0.3,0.3,10,0
race,Other,0.2,0.3,0.0,1,0
race,Other,0.2,0.3,0.0,3,1
race,Caucasian,0.2,0.3,0.2727272727272727,11,1
