Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.16326530612244897,49,0
race,Hispanic,0.0,0.1,0.14285714285714285,7,0
race,Caucasian,0.0,0.1,0.13333333333333333,45,0
race,Other,0.0,0.1,0.0,7,0
race,Other,0.0,0.1,0.0,1,1
race,Caucasian,0.0,0.1,0.12,25,1
race,African-American,0.0,0.1,0.13793103448275862,29,1
race,Hispanic,0.0,0.1,0.0,4,1
race,African-American,0.0,0.1,0.0,27,2
race,Other,0.0,0.1,0.0,1,2
race,Caucasian,0.0,0.1,0.04,25,2
race,Hispanic,0.0,0.1,0.0,2,2
race,African-American,0.0,0.1,0.08333333333333333,12,3
race,Caucasian,0.0,0.1,0.0,8,3
race,Hispanic,0.0,0.1,0.2,5,3
race,Other,0.0,0.1,0.6666666666666666,3,3
race,Caucasian,0.0,0.1,0.041666666666666664,24,4
race,African-American,0.0,0.1,0.04,25,4
race,Hispanic,0.0,0.1,0.0,4,4
race,Other,0.0,0.1,0.0,2,4
race,African-American,0.1,0.2,0.23880597014925373,67,0
race,Hispanic,0.1,0.2,0.0,9,0
race,Caucasian,0.1,0.2,0.13953488372093023,43,0
race,Other,0.1,0.2,0.375,8,0
race,Other,0.1,0.2,0.4,5,1
race,Caucasian,0.1,0.2,0.14,50,1
race,African-American,0.1,0.2,0.18292682926829268,82,1
race,Hispanic,0.1,0.2,0.0,7,1
race,African-American,0.1,0.2,0.17105263157894737,76,2
race,Other,0.1,0.2,0.125,8,2
race,Caucasian,0.1,0.2,0.1111111111111111,54,2
race,Hispanic,0.1,0.2,0.1111111111111111,9,2
race,African-American,0.1,0.2,0.14285714285714285,98,3
race,Caucasian,0.1,0.2,0.06666666666666667,45,3
race,Hispanic,0.1,0.2,0.0,9,3
race,Other,0.1,0.2,0.0,9,3
race,Caucasian,0.1,0.2,0.16216216216216217,37,4
race,African-American,0.1,0.2,0.20454545454545456,88,4
race,Hispanic,0.1,0.2,0.0,15,4
race,Other,0.1,0.2,0.06666666666666667,15,4
race,African-American,0.2,0.3,0.20987654320987653,81,0
race,Hispanic,0.2,0.3,0.2,5,0
race,Caucasian,0.2,0.3,0.23333333333333334,30,0
race,Other,0.2,0.3,0.0,5,0
race,Other,0.2,0.3,0.2857142857142857,7,1
race,Caucasian,0.2,0.3,0.23076923076923078,39,1
race,African-American,0.2,0.3,0.3026315789473684,76,1
race,Hispanic,0.2,0.3,0.3333333333333333,9,1
race,African-American,0.2,0.3,0.25,84,2
race,Other,0.2,0.3,0.3333333333333333,9,2
race,Caucasian,0.2,0.3,0.25,40,2
race,Hispanic,0.2,0.3,0.5,4,2
race,African-American,0.2,0.3,0.3,80,3
race,Caucasian,0.2,0.3,0.32075471698113206,53,3
race,Hispanic,0.2,0.3,0.07692307692307693,13,3
race,Other,0.2,0.3,0.6666666666666666,6,3
race,Caucasian,0.2,0.3,0.19230769230769232,26,4
race,African-American,0.2,0.3,0.21739130434782608,92,4
race,Hispanic,0.2,0.3,0.14285714285714285,7,4
race,Other,0.2,0.3,0.25,8,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.42857142857142855,21,0
race,Hispanic,0.5,0.6,0.3333333333333333,3,0
race,Caucasian,0.5,0.6,0.0,2,0
race,Other,0.5,0.6,0.0,3,0
race,Other,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,0.1,10,1
race,African-American,0.5,0.6,0.2692307692307692,26,1
race,Hispanic,0.5,0.6,0.14285714285714285,7,1
race,African-American,0.5,0.6,0.4074074074074074,27,2
race,Other,0.5,0.6,0.0,1,2
race,Caucasian,0.5,0.6,0.5454545454545454,11,2
race,Hispanic,0.5,0.6,0.75,4,2
race,African-American,0.5,0.6,0.3235294117647059,34,3
race,Caucasian,0.5,0.6,0.5714285714285714,14,3
race,Hispanic,0.5,0.6,0.5,2,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.7,10,4
race,African-American,0.5,0.6,0.391304347826087,23,4
race,Hispanic,0.5,0.6,0.0,2,4
race,Other,0.5,0.6,1.0,2,4
race,African-American,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Hispanic,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,0.5,2,0
race,Hispanic,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.25,4,0
race,Other,0.7,0.8,,0,0
race,Other,0.7,0.8,0.0,1,1
race,Caucasian,0.7,0.8,0.6666666666666666,3,1
race,African-American,0.7,0.8,0.4,10,1
race,Hispanic,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.625,8,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,1.0,1,2
race,Hispanic,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,Hispanic,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,1.0,2,4
race,African-American,0.7,0.8,0.5714285714285714,7,4
race,Hispanic,0.7,0.8,,0,4
race,Other,0.7,0.8,0.0,1,4
race,African-American,0.8,0.9,,0,0
race,Hispanic,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Hispanic,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Hispanic,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,Hispanic,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Hispanic,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Hispanic,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Hispanic,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Hispanic,0.9,1.0,,0,2
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,Hispanic,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Hispanic,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.14606741573033707,89,0
sex,female,0.0,0.1,0.10526315789473684,19,0
sex,male,0.0,0.1,0.11538461538461539,52,1
sex,female,0.0,0.1,0.14285714285714285,7,1
sex,male,0.0,0.1,0.023809523809523808,42,2
sex,female,0.0,0.1,0.0,13,2
sex,male,0.0,0.1,0.17391304347826086,23,3
sex,female,0.0,0.1,0.0,5,3
sex,male,0.0,0.1,0.043478260869565216,46,4
sex,female,0.0,0.1,0.0,9,4
sex,male,0.1,0.2,0.19130434782608696,115,0
sex,female,0.1,0.2,0.25,12,0
sex,male,0.1,0.2,0.19834710743801653,121,1
sex,female,0.1,0.2,0.0,23,1
sex,male,0.1,0.2,0.15503875968992248,129,2
sex,female,0.1,0.2,0.05555555555555555,18,2
sex,male,0.1,0.2,0.11409395973154363,149,3
sex,female,0.1,0.2,0.0,12,3
sex,male,0.1,0.2,0.16296296296296298,135,4
sex,female,0.1,0.2,0.15,20,4
sex,male,0.2,0.3,0.2,105,0
sex,female,0.2,0.3,0.25,16,0
sex,male,0.2,0.3,0.2743362831858407,113,1
sex,female,0.2,0.3,0.3333333333333333,18,1
