Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Hispanic,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Hispanic,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.3333333333333333,3,0
race,Hispanic,0.2,0.3,0.0,2,0
race,Caucasian,0.2,0.3,0.0,8,0
race,Other,0.2,0.3,0.0,2,0
race,Other,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,8,1
race,African-American,0.2,0.3,,0,1
race,Hispanic,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,5,4
race,African-American,0.2,0.3,0.0,1,4
race,Hispanic,0.2,0.3,0.0,1,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.125,48,0
race,Hispanic,0.3,0.4,0.16666666666666666,6,0
race,Caucasian,0.3,0.4,0.125,48,0
race,Other,0.3,0.4,0.0,6,0
race,Other,0.3,0.4,0.0,3,1
race,Caucasian,0.3,0.4,0.14634146341463414,41,1
race,African-American,0.3,0.4,0.1016949152542373,59,1
race,Hispanic,0.3,0.4,0.125,8,1
race,African-American,0.3,0.4,0.14,50,2
race,Other,0.3,0.4,0.0,3,2
race,Caucasian,0.3,0.4,0.08163265306122448,49,2
race,Hispanic,0.3,0.4,0.2,10,2
race,African-American,0.3,0.4,0.10416666666666667,48,3
race,Caucasian,0.3,0.4,0.125,40,3
race,Hispanic,0.3,0.4,0.0,12,3
race,Other,0.3,0.4,0.4,5,3
race,Caucasian,0.3,0.4,0.08571428571428572,35,4
race,African-American,0.3,0.4,0.16326530612244897,49,4
race,Hispanic,0.3,0.4,0.0,8,4
race,Other,0.3,0.4,0.0,8,4
race,African-American,0.4,0.5,0.20967741935483872,62,0
race,Hispanic,0.4,0.5,0.0,6,0
race,Caucasian,0.4,0.5,0.2222222222222222,27,0
race,Other,0.4,0.5,0.25,8,0
race,Other,0.4,0.5,0.25,4,1
race,Caucasian,0.4,0.5,0.15789473684210525,38,1
race,African-American,0.4,0.5,0.19607843137254902,51,1
race,Hispanic,0.4,0.5,0.25,4,1
race,African-American,0.4,0.5,0.14084507042253522,71,2
race,Other,0.4,0.5,0.125,8,2
race,Caucasian,0.4,0.5,0.175,40,2
race,Hispanic,0.4,0.5,0.3333333333333333,3,2
race,African-American,0.4,0.5,0.19402985074626866,67,3
race,Caucasian,0.4,0.5,0.16216216216216217,37,3
race,Hispanic,0.4,0.5,0.16666666666666666,6,3
race,Other,0.4,0.5,0.1,10,3
race,Caucasian,0.4,0.5,0.19047619047619047,21,4
race,African-American,0.4,0.5,0.1875,64,4
race,Hispanic,0.4,0.5,0.0,11,4
race,Other,0.4,0.5,0.1,10,4
race,African-American,0.5,0.6,0.26229508196721313,61,0
race,Hispanic,0.5,0.6,0.14285714285714285,7,0
race,Caucasian,0.5,0.6,0.15384615384615385,26,0
race,Other,0.5,0.6,0.5,4,0
race,Other,0.5,0.6,0.4,5,1
race,Caucasian,0.5,0.6,0.20833333333333334,24,1
