Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.030120481927710843,166,0
race,Caucasian,0.0,0.1,0.010752688172043012,93,0
race,Other,0.0,0.1,0.0,9,0
race,Hispanic,0.0,0.1,0.03571428571428571,28,0
race,Hispanic,0.0,0.1,0.0,25,1
race,African-American,0.0,0.1,0.03977272727272727,176,1
race,Caucasian,0.0,0.1,0.031914893617021274,94,1
race,Other,0.0,0.1,0.0,18,1
race,Other,0.0,0.1,0.047619047619047616,21,2
race,African-American,0.0,0.1,0.04020100502512563,199,2
race,Caucasian,0.0,0.1,0.025210084033613446,119,2
race,Hispanic,0.0,0.1,0.041666666666666664,24,2
race,African-American,0.0,0.1,0.037209302325581395,215,3
race,Other,0.0,0.1,0.047619047619047616,21,3
race,Caucasian,0.0,0.1,0.039603960396039604,101,3
race,Hispanic,0.0,0.1,0.058823529411764705,17,3
race,Hispanic,0.0,0.1,0.0,19,4
race,African-American,0.0,0.1,0.026595744680851064,188,4
race,Caucasian,0.0,0.1,0.04950495049504951,101,4
race,Other,0.0,0.1,0.0,18,4
race,African-American,0.1,0.2,0.057692307692307696,52,0
race,Caucasian,0.1,0.2,0.037037037037037035,27,0
race,Other,0.1,0.2,0.0,5,0
race,Hispanic,0.1,0.2,0.0,5,0
race,Hispanic,0.1,0.2,0.0,2,1
race,African-American,0.1,0.2,0.09615384615384616,52,1
race,Caucasian,0.1,0.2,0.0,15,1
race,Other,0.1,0.2,0.0,1,1
race,Other,0.1,0.2,0.3333333333333333,3,2
race,African-American,0.1,0.2,0.1,20,2
race,Caucasian,0.1,0.2,0.0,3,2
race,Hispanic,0.1,0.2,0.0,2,2
race,African-American,0.1,0.2,0.26666666666666666,15,3
race,Other,0.1,0.2,0.0,3,3
race,Caucasian,0.1,0.2,0.05555555555555555,18,3
race,Hispanic,0.1,0.2,0.0,1,3
race,Hispanic,0.1,0.2,0.0,4,4
race,African-American,0.1,0.2,0.037037037037037035,27,4
