Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.0,2,0
race,Caucasian,0.2,0.3,0.0,7,0
race,Other,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,0.0,4,0
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.0,5,1
race,Other,0.2,0.3,,0,1
race,Other,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,0.0,1,2
race,Caucasian,0.2,0.3,0.0,3,2
race,Hispanic,0.2,0.3,0.0,1,2
race,African-American,0.2,0.3,0.0,1,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,2,3
race,Hispanic,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.15789473684210525,38,0
race,Caucasian,0.3,0.4,0.125,24,0
race,Other,0.3,0.4,0.0,2,0
race,Hispanic,0.3,0.4,0.16666666666666666,12,0
race,Hispanic,0.3,0.4,0.0,6,1
race,African-American,0.3,0.4,0.15384615384615385,52,1
race,Caucasian,0.3,0.4,0.14814814814814814,27,1
race,Other,0.3,0.4,0.0,9,1
race,Other,0.3,0.4,0.16666666666666666,6,2
race,African-American,0.3,0.4,0.18518518518518517,27,2
race,Caucasian,0.3,0.4,0.11428571428571428,35,2
race,Hispanic,0.3,0.4,0.0,4,2
race,African-American,0.3,0.4,0.08333333333333333,24,3
race,Other,0.3,0.4,0.3333333333333333,3,3
race,Caucasian,0.3,0.4,0.06666666666666667,30,3
race,Hispanic,0.3,0.4,0.0,2,3
race,Hispanic,0.3,0.4,0.0,4,4
race,African-American,0.3,0.4,0.03125,32,4
race,Caucasian,0.3,0.4,0.1875,32,4
race,Other,0.3,0.4,0.25,4,4
race,African-American,0.4,0.5,0.21311475409836064,61,0
race,Caucasian,0.4,0.5,0.23809523809523808,42,0
race,Other,0.4,0.5,0.0,8,0
race,Hispanic,0.4,0.5,0.1111111111111111,9,0
race,Hispanic,0.4,0.5,0.0,9,1
race,African-American,0.4,0.5,0.2857142857142857,42,1
race,Caucasian,0.4,0.5,0.1875,32,1
race,Other,0.4,0.5,0.0,4,1
race,Other,0.4,0.5,0.16666666666666666,6,2
race,African-American,0.4,0.5,0.25,68,2
race,Caucasian,0.4,0.5,0.14285714285714285,35,2
race,Hispanic,0.4,0.5,0.2222222222222222,9,2
race,African-American,0.4,0.5,0.08196721311475409,61,3
race,Other,0.4,0.5,0.0,8,3
race,Caucasian,0.4,0.5,0.20512820512820512,39,3
race,Hispanic,0.4,0.5,0.25,8,3
race,Hispanic,0.4,0.5,0.25,4,4
race,African-American,0.4,0.5,0.16363636363636364,55,4
race,Caucasian,0.4,0.5,0.20588235294117646,34,4
race,Other,0.4,0.5,0.16666666666666666,6,4
race,African-American,0.5,0.6,0.1935483870967742,62,0
race,Caucasian,0.5,0.6,0.06451612903225806,31,0
race,Other,0.5,0.6,0.3333333333333333,3,0
race,Hispanic,0.5,0.6,0.0,5,0
race,Hispanic,0.5,0.6,0.0,8,1
race,African-American,0.5,0.6,0.25961538461538464,104,1
race,Caucasian,0.5,0.6,0.3684210526315789,38,1
race,Other,0.5,0.6,0.0,6,1
race,Other,0.5,0.6,0.4,5,2
race,African-American,0.5,0.6,0.22,50,2
race,Caucasian,0.5,0.6,0.39285714285714285,28,2
race,Hispanic,0.5,0.6,0.2,10,2
race,African-American,0.5,0.6,0.3135593220338983,118,3
race,Other,0.5,0.6,0.2,10,3
race,Caucasian,0.5,0.6,0.2391304347826087,46,3
race,Hispanic,0.5,0.6,0.125,8,3
race,Hispanic,0.5,0.6,0.08333333333333333,12,4
race,African-American,0.5,0.6,0.2978723404255319,94,4
race,Caucasian,0.5,0.6,0.2916666666666667,48,4
race,Other,0.5,0.6,0.375,8,4
race,African-American,0.6,0.7,0.2909090909090909,55,0
race,Caucasian,0.6,0.7,0.375,16,0
race,Other,0.6,0.7,1.0,1,0
race,Hispanic,0.6,0.7,0.3333333333333333,3,0
race,Hispanic,0.6,0.7,0.25,4,1
race,African-American,0.6,0.7,0.24242424242424243,33,1
race,Caucasian,0.6,0.7,0.45454545454545453,11,1
race,Other,0.6,0.7,0.0,1,1
race,Other,0.6,0.7,0.3333333333333333,6,2
race,African-American,0.6,0.7,0.3150684931506849,73,2
