Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,0.1935483870967742,31,0
race,African-American,0.2,0.3,0.46875,32,0
race,Other,0.2,0.3,0.14285714285714285,7,0
race,Hispanic,0.2,0.3,0.0,1,0
race,Hispanic,0.2,0.3,0.3076923076923077,13,1
race,Other,0.2,0.3,0.2857142857142857,7,1
race,African-American,0.2,0.3,0.32727272727272727,55,1
race,Caucasian,0.2,0.3,0.325,40,1
race,African-American,0.2,0.3,0.3684210526315789,38,2
race,Hispanic,0.2,0.3,0.14285714285714285,7,2
race,Other,0.2,0.3,0.5,4,2
race,Caucasian,0.2,0.3,0.32142857142857145,28,2
race,African-American,0.2,0.3,0.22857142857142856,35,3
race,Other,0.2,0.3,0.6666666666666666,3,3
race,Caucasian,0.2,0.3,0.3157894736842105,19,3
race,Hispanic,0.2,0.3,0.0,2,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,0.43478260869565216,46,0
race,African-American,0.3,0.4,0.36585365853658536,41,0
race,Other,0.3,0.4,0.42857142857142855,7,0
race,Hispanic,0.3,0.4,0.14285714285714285,7,0
race,Hispanic,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.6,25,2
race,Hispanic,0.3,0.4,0.14285714285714285,7,2
race,Other,0.3,0.4,0.2222222222222222,9,2
race,Caucasian,0.3,0.4,0.35294117647058826,34,2
race,African-American,0.3,0.4,0.23529411764705882,34,3
race,Other,0.3,0.4,0.42857142857142855,7,3
race,Caucasian,0.3,0.4,0.35,40,3
race,Hispanic,0.3,0.4,0.2727272727272727,11,3
race,Hispanic,0.3,0.4,0.4444444444444444,9,4
race,African-American,0.3,0.4,0.3246753246753247,77,4
race,Caucasian,0.3,0.4,0.22413793103448276,58,4
race,Other,0.3,0.4,0.25,8,4
race,Caucasian,0.4,0.5,0.5121951219512195,41,0
race,African-American,0.4,0.5,0.6,90,0
race,Other,0.4,0.5,0.5,4,0
race,Hispanic,0.4,0.5,0.5,10,0
race,Hispanic,0.4,0.5,0.3333333333333333,6,1
race,Other,0.4,0.5,0.75,4,1
race,African-American,0.4,0.5,0.3333333333333333,18,1
race,Caucasian,0.4,0.5,0.47368421052631576,19,1
race,African-American,0.4,0.5,0.3793103448275862,29,2
race,Hispanic,0.4,0.5,0.25,4,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.3125,16,2
race,African-American,0.4,0.5,0.6086956521739131,23,3
race,Other,0.4,0.5,1.0,1,3
