Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Other,0.1,0.2,0.5,4,2
race,African-American,0.1,0.2,0.3888888888888889,18,2
race,Caucasian,0.1,0.2,0.2727272727272727,22,2
race,Hispanic,0.1,0.2,0.3333333333333333,3,2
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,0.23214285714285715,56,0
race,Caucasian,0.2,0.3,0.35294117647058826,51,0
race,Other,0.2,0.3,0.75,4,0
race,Hispanic,0.2,0.3,0.16666666666666666,18,0
race,Hispanic,0.2,0.3,0.08333333333333333,12,1
race,African-American,0.2,0.3,0.27419354838709675,62,1
race,Caucasian,0.2,0.3,0.29545454545454547,44,1
race,Other,0.2,0.3,0.2,10,1
race,Other,0.2,0.3,0.3333333333333333,9,2
race,African-American,0.2,0.3,0.40816326530612246,49,2
race,Caucasian,0.2,0.3,0.3181818181818182,44,2
race,Hispanic,0.2,0.3,0.14285714285714285,7,2
race,African-American,0.2,0.3,0.4090909090909091,44,3
race,Other,0.2,0.3,0.2222222222222222,9,3
race,Caucasian,0.2,0.3,0.2711864406779661,59,3
race,Hispanic,0.2,0.3,0.0,5,3
race,Hispanic,0.2,0.3,0.6,10,4
race,African-American,0.2,0.3,0.288135593220339,59,4
race,Caucasian,0.2,0.3,0.25806451612903225,62,4
race,Other,0.2,0.3,0.5,6,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.5075757575757576,132,0
race,Caucasian,0.5,0.6,0.46774193548387094,62,0
race,Other,0.5,0.6,0.5,10,0
race,Hispanic,0.5,0.6,0.5,14,0
race,Hispanic,0.5,0.6,0.23076923076923078,13,1
race,African-American,0.5,0.6,0.5579710144927537,138,1
race,Caucasian,0.5,0.6,0.453125,64,1
race,Other,0.5,0.6,0.3333333333333333,9,1
race,Other,0.5,0.6,0.4,10,2
race,African-American,0.5,0.6,0.525,120,2
race,Caucasian,0.5,0.6,0.48936170212765956,47,2
race,Hispanic,0.5,0.6,0.4375,16,2
race,African-American,0.5,0.6,0.47297297297297297,148,3
race,Other,0.5,0.6,0.38461538461538464,13,3
race,Caucasian,0.5,0.6,0.44642857142857145,56,3
race,Hispanic,0.5,0.6,0.45454545454545453,11,3
race,Hispanic,0.5,0.6,0.4444444444444444,9,4
race,African-American,0.5,0.6,0.5454545454545454,132,4
race,Caucasian,0.5,0.6,0.543859649122807,57,4
race,Other,0.5,0.6,0.6666666666666666,12,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,0
race,Hispanic,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Hispanic,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,3
race,Hispanic,0.6,0.7,,0,4
