Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,0.0,4,1
race,Other,0.0,0.1,0.5,2,1
race,African-American,0.0,0.1,0.0,3,1
race,Caucasian,0.0,0.1,0.0,5,1
race,African-American,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,0.2,5,4
race,Caucasian,0.0,0.1,0.0,2,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,0.21212121212121213,66,0
race,African-American,0.1,0.2,0.203125,64,0
race,Other,0.1,0.2,0.2,10,0
race,Hispanic,0.1,0.2,0.25,8,0
race,Hispanic,0.1,0.2,0.18181818181818182,11,1
race,Other,0.1,0.2,0.3333333333333333,6,1
race,African-American,0.1,0.2,0.13043478260869565,46,1
race,Caucasian,0.1,0.2,0.2903225806451613,31,1
race,African-American,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,African-American,0.1,0.2,0.22058823529411764,68,3
race,Other,0.1,0.2,0.125,8,3
race,Caucasian,0.1,0.2,0.15217391304347827,46,3
race,Hispanic,0.1,0.2,0.16666666666666666,12,3
race,Hispanic,0.1,0.2,0.16666666666666666,6,4
race,African-American,0.1,0.2,0.1935483870967742,31,4
race,Caucasian,0.1,0.2,0.28125,32,4
race,Other,0.1,0.2,0.0,6,4
race,Caucasian,0.2,0.3,0.2222222222222222,27,0
race,African-American,0.2,0.3,0.35384615384615387,65,0
race,Other,0.2,0.3,0.5,6,0
race,Hispanic,0.2,0.3,0.0,1,0
race,Hispanic,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.3048780487804878,164,2
race,Hispanic,0.2,0.3,0.10526315789473684,19,2
race,Other,0.2,0.3,0.23809523809523808,21,2
race,Caucasian,0.2,0.3,0.20833333333333334,96,2
race,African-American,0.2,0.3,0.16666666666666666,42,3
race,Other,0.2,0.3,0.0,4,3
race,Caucasian,0.2,0.3,0.20512820512820512,39,3
race,Hispanic,0.2,0.3,0.2857142857142857,7,3
race,Hispanic,0.2,0.3,0.3076923076923077,13,4
race,African-American,0.2,0.3,0.2773722627737226,137,4
race,Caucasian,0.2,0.3,0.19642857142857142,56,4
race,Other,0.2,0.3,0.3,10,4
race,Caucasian,0.3,0.4,0.34210526315789475,38,0
race,African-American,0.3,0.4,0.375,88,0
race,Other,0.3,0.4,0.0,5,0
race,Hispanic,0.3,0.4,0.23076923076923078,13,0
race,Hispanic,0.3,0.4,0.3125,16,1
race,Other,0.3,0.4,0.4166666666666667,12,1
race,African-American,0.3,0.4,0.35714285714285715,182,1
race,Caucasian,0.3,0.4,0.273972602739726,73,1
race,African-American,0.3,0.4,0.391304347826087,23,2
race,Hispanic,0.3,0.4,0.0,5,2
race,Other,0.3,0.4,0.25,4,2
race,Caucasian,0.3,0.4,0.375,16,2
race,African-American,0.3,0.4,0.1694915254237288,59,3
race,Other,0.3,0.4,0.3333333333333333,3,3
race,Caucasian,0.3,0.4,0.08695652173913043,23,3
race,Hispanic,0.3,0.4,0.5,2,3
race,Hispanic,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.3157894736842105,19,4
race,Caucasian,0.3,0.4,0.5,8,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.0,5,2
race,Hispanic,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
