Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,0.175,40,2
race,Hispanic,0.0,0.1,0.0,8,2
race,Other,0.0,0.1,0.25,4,2
race,Caucasian,0.0,0.1,0.043478260869565216,23,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,0.15730337078651685,89,0
race,African-American,0.1,0.2,0.1651376146788991,109,0
race,Other,0.1,0.2,0.0,12,0
race,Hispanic,0.1,0.2,0.0,12,0
race,Hispanic,0.1,0.2,0.10526315789473684,19,1
race,Other,0.1,0.2,0.1,10,1
race,African-American,0.1,0.2,0.18382352941176472,136,1
race,Caucasian,0.1,0.2,0.14705882352941177,68,1
race,African-American,0.1,0.2,0.24347826086956523,115,2
race,Hispanic,0.1,0.2,0.07142857142857142,14,2
race,Other,0.1,0.2,0.05555555555555555,18,2
race,Caucasian,0.1,0.2,0.2222222222222222,81,2
race,African-American,0.1,0.2,0.13,100,3
race,Other,0.1,0.2,0.4,10,3
race,Caucasian,0.1,0.2,0.125,64,3
race,Hispanic,0.1,0.2,0.07692307692307693,13,3
race,Hispanic,0.1,0.2,0.2222222222222222,18,4
race,African-American,0.1,0.2,0.16541353383458646,133,4
race,Caucasian,0.1,0.2,0.10256410256410256,78,4
race,Other,0.1,0.2,0.09090909090909091,11,4
race,Caucasian,0.2,0.3,0.07692307692307693,26,0
race,African-American,0.2,0.3,0.3548387096774194,62,0
race,Other,0.2,0.3,0.5,6,0
race,Hispanic,0.2,0.3,0.2,5,0
race,Hispanic,0.2,0.3,0.3,10,1
race,Other,0.2,0.3,0.375,8,1
race,African-American,0.2,0.3,0.23076923076923078,78,1
race,Caucasian,0.2,0.3,0.2972972972972973,37,1
race,African-American,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.30927835051546393,97,3
race,Other,0.2,0.3,0.5,6,3
race,Caucasian,0.2,0.3,0.17777777777777778,45,3
race,Hispanic,0.2,0.3,0.2857142857142857,7,3
race,Hispanic,0.2,0.3,0.0,4,4
race,African-American,0.2,0.3,0.19444444444444445,36,4
race,Caucasian,0.2,0.3,0.5,10,4
race,Other,0.2,0.3,0.6666666666666666,3,4
race,Caucasian,0.3,0.4,0.5,16,0
race,African-American,0.3,0.4,0.32608695652173914,46,0
race,Other,0.3,0.4,0.0,3,0
race,Hispanic,0.3,0.4,0.2,5,0
race,Hispanic,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.275,40,2
race,Hispanic,0.3,0.4,0.0,2,2
race,Other,0.3,0.4,0.0,2,2
race,Caucasian,0.3,0.4,0.18181818181818182,11,2
race,African-American,0.3,0.4,0.4,10,3
race,Other,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.5,4,3
race,Hispanic,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,0.0,2,4
race,African-American,0.3,0.4,0.2926829268292683,41,4
race,Caucasian,0.3,0.4,0.23529411764705882,17,4
race,Other,0.3,0.4,0.25,4,4
race,Caucasian,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,0.5,2,1
race,Other,0.4,0.5,0.5,2,1
race,African-American,0.4,0.5,0.35294117647058826,17,1
race,Caucasian,0.4,0.5,0.75,4,1
race,African-American,0.4,0.5,0.35294117647058826,17,2
race,Hispanic,0.4,0.5,0.0,2,2
race,Other,0.4,0.5,1.0,1,2
