Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,0
race,Hispanic,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Hispanic,0.1,0.2,,0,2
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,3
race,Hispanic,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,0
race,Hispanic,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Hispanic,0.2,0.3,,0,2
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,3
race,Hispanic,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Caucasian,0.2,0.3,0.0,1,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.14285714285714285,7,0
race,Caucasian,0.3,0.4,0.07142857142857142,14,0
race,Other,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,0.0,6,0
race,Hispanic,0.3,0.4,0.0,3,1
race,African-American,0.3,0.4,0.07692307692307693,26,1
race,Caucasian,0.3,0.4,0.05555555555555555,18,1
race,Other,0.3,0.4,0.2,5,1
race,Other,0.3,0.4,0.0,3,2
race,African-American,0.3,0.4,0.13333333333333333,15,2
race,Caucasian,0.3,0.4,0.25,12,2
race,Hispanic,0.3,0.4,0.0,4,2
race,African-American,0.3,0.4,0.11764705882352941,17,3
race,Other,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.0,14,3
race,Hispanic,0.3,0.4,0.0,2,3
race,Hispanic,0.3,0.4,1.0,1,4
race,African-American,0.3,0.4,0.1875,16,4
race,Caucasian,0.3,0.4,0.0,17,4
race,Other,0.3,0.4,0.3333333333333333,3,4
race,African-American,0.4,0.5,0.08333333333333333,60,0
race,Caucasian,0.4,0.5,0.22580645161290322,31,0
race,Other,0.4,0.5,0.0,5,0
race,Hispanic,0.4,0.5,0.1,10,0
race,Hispanic,0.4,0.5,0.1111111111111111,9,1
race,African-American,0.4,0.5,0.14516129032258066,62,1
race,Caucasian,0.4,0.5,0.10810810810810811,37,1
race,Other,0.4,0.5,0.2857142857142857,7,1
race,Other,0.4,0.5,0.0,7,2
race,African-American,0.4,0.5,0.16666666666666666,42,2
race,Caucasian,0.4,0.5,0.07894736842105263,38,2
race,Hispanic,0.4,0.5,0.0,8,2
race,African-American,0.4,0.5,0.05263157894736842,38,3
race,Other,0.4,0.5,0.0,6,3
race,Caucasian,0.4,0.5,0.043478260869565216,46,3
race,Hispanic,0.4,0.5,0.3333333333333333,6,3
race,Hispanic,0.4,0.5,0.0,10,4
race,African-American,0.4,0.5,0.1323529411764706,68,4
race,Caucasian,0.4,0.5,0.11363636363636363,44,4
race,Other,0.4,0.5,0.0,6,4
race,African-American,0.5,0.6,0.2222222222222222,72,0
race,Caucasian,0.5,0.6,0.20454545454545456,44,0
race,Other,0.5,0.6,0.2857142857142857,7,0
race,Hispanic,0.5,0.6,0.1,10,0
race,Hispanic,0.5,0.6,0.1,10,1
race,African-American,0.5,0.6,0.21,100,1
race,Caucasian,0.5,0.6,0.16666666666666666,36,1
race,Other,0.5,0.6,0.125,8,1
race,Other,0.5,0.6,0.14285714285714285,7,2
race,African-American,0.5,0.6,0.19047619047619047,84,2
race,Caucasian,0.5,0.6,0.14893617021276595,47,2
race,Hispanic,0.5,0.6,0.14285714285714285,7,2
race,African-American,0.5,0.6,0.2125,80,3
race,Other,0.5,0.6,0.1,10,3
race,Caucasian,0.5,0.6,0.18181818181818182,33,3
race,Hispanic,0.5,0.6,0.0,6,3
race,Hispanic,0.5,0.6,0.375,8,4
race,African-American,0.5,0.6,0.30120481927710846,83,4
race,Caucasian,0.5,0.6,0.3111111111111111,45,4
race,Other,0.5,0.6,0.625,8,4
race,African-American,0.6,0.7,0.23529411764705882,51,0
race,Caucasian,0.6,0.7,0.36363636363636365,22,0
race,Other,0.6,0.7,0.5,2,0
race,Hispanic,0.6,0.7,0.2,5,0
race,Hispanic,0.6,0.7,0.0,3,1
race,African-American,0.6,0.7,0.17857142857142858,28,1
race,Caucasian,0.6,0.7,0.35294117647058826,17,1
race,Other,0.6,0.7,,0,1
race,Other,0.6,0.7,0.2857142857142857,7,2
race,African-American,0.6,0.7,0.3584905660377358,53,2
race,Caucasian,0.6,0.7,0.3125,16,2
