Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.07865168539325842,0.9541984732824428,0.3961352657004831,0.46153846153846156,0.6,0.07317073170731707,220,0
race,African-American,0.05333333333333334,0.972972972972973,0.3302325581395349,0.5,0.6636771300448431,0.056338028169014086,223,1
race,African-American,0.08571428571428572,0.9868421052631579,0.29906542056074764,0.25,0.7027027027027027,0.03125,222,2
race,African-American,0.06896551724137931,0.9854014598540146,0.375,0.25,0.6294642857142857,0.024691358024691357,224,3
race,African-American,0.08641975308641975,0.974025974025974,0.33035714285714285,0.36363636363636365,0.6680851063829787,0.05405405405405406,235,4
race,Caucasian,0.058823529411764705,0.958904109589041,0.4067796610169492,0.5,0.5887096774193549,0.0625,124,0
race,Caucasian,0.075,0.9770114942528736,0.30327868852459017,0.4,0.6929133858267716,0.05405405405405406,127,1
race,Caucasian,0.046511627906976744,0.9886363636363636,0.3203125,0.3333333333333333,0.6793893129770993,0.024390243902439025,131,2
race,Caucasian,0.20689655172413793,1.0,0.20175438596491227,0.0,0.8083333333333333,0.0,120,3
race,Caucasian,0.05555555555555555,0.9629629629629629,0.17894736842105263,0.75,0.797979797979798,0.17647058823529413,99,4
race,Hispanic,0.0,1.0,0.2916666666666667,0.0,0.7083333333333334,0.0,24,0
race,Hispanic,0.0,0.95,0.2692307692307692,1.0,0.7037037037037037,0.14285714285714285,27,1
race,Hispanic,0.0,1.0,0.21052631578947367,0.0,0.7894736842105263,0.0,19,2
race,Hispanic,0.2222222222222222,1.0,0.25925925925925924,0.0,0.7586206896551724,0.0,29,3
race,Hispanic,0.0,1.0,0.2857142857142857,0.0,0.7142857142857143,0.0,28,4
race,Other,0.1,1.0,0.4090909090909091,0.0,0.6086956521739131,0.0,23,0
race,Other,0.0,1.0,0.21428571428571427,0.0,0.7857142857142857,0.0,14,1
race,Other,0.25,0.9333333333333333,0.17647058823529413,0.5,0.7894736842105263,0.3333333333333333,19,2
race,Other,0.0,1.0,0.4444444444444444,0.0,0.5555555555555556,0.0,18,3
race,Other,0.0,1.0,0.25,0.0,0.75,0.0,28,4
sex,female,0.0,0.9354838709677419,0.3829787234042553,1.0,0.5918367346938775,0.1111111111111111,49,0
sex,female,0.1111111111111111,1.0,0.32,0.0,0.6923076923076923,0.0,52,1
sex,female,0.09090909090909091,1.0,0.19607843137254902,0.0,0.8076923076923077,0.0,52,2
sex,female,0.125,1.0,0.16666666666666666,0.0,0.8372093023255814,0.0,43,3
sex,female,0.125,0.9574468085106383,0.1346153846153846,0.6666666666666666,0.8363636363636363,0.2857142857142857,55,4
sex,male,0.07913669064748201,0.9655172413793104,0.3950617283950617,0.3888888888888889,0.6052631578947368,0.0546875,342,0
sex,male,0.04672897196261682,0.9698275862068966,0.3119266055045872,0.5833333333333334,0.6784660766961652,0.06862745098039216,339,1
sex,male,0.07272727272727272,0.982532751091703,0.3119266055045872,0.3333333333333333,0.6873156342182891,0.0392156862745098,339,2
sex,male,0.104,0.9910313901345291,0.33633633633633636,0.13333333333333333,0.6724137931034483,0.017857142857142856,348,3
sex,male,0.0660377358490566,0.9781659388646288,0.3065015479876161,0.4166666666666667,0.6895522388059702,0.050505050505050504,335,4
