Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.06779661016949153,0.9313725490196079,0.5365853658536586,0.4666666666666667,0.4681818181818182,0.06363636363636363,220,0
race,African-American,0.16521739130434782,0.9537037037037037,0.4824120603015075,0.20833333333333334,0.547085201793722,0.052083333333333336,223,1
race,African-American,0.11764705882352941,0.9029126213592233,0.5303030303030303,0.4166666666666667,0.481981981981982,0.09523809523809523,222,2
race,African-American,0.08403361344537816,0.9238095238095239,0.529126213592233,0.4444444444444444,0.47767857142857145,0.07339449541284404,224,3
race,African-American,0.12295081967213115,0.9026548672566371,0.5119617224880383,0.4230769230769231,0.4978723404255319,0.102803738317757,235,4
race,Caucasian,0.1724137931034483,0.9052631578947369,0.21818181818181817,0.6428571428571429,0.7338709677419355,0.375,124,0
race,Caucasian,0.08108108108108109,0.9333333333333333,0.288135593220339,0.6666666666666666,0.6850393700787402,0.17647058823529413,127,1
race,Caucasian,0.09803921568627451,0.9625,0.37398373983739835,0.375,0.6259541984732825,0.06521739130434782,131,2
race,Caucasian,0.15384615384615385,0.8765432098765432,0.3173076923076923,0.625,0.6416666666666667,0.30303030303030304,120,3
race,Caucasian,0.1282051282051282,0.9,0.38636363636363635,0.5454545454545454,0.5959595959595959,0.17647058823529413,99,4
race,Hispanic,0.0,1.0,0.375,0.0,0.625,0.0,24,0
race,Hispanic,0.08333333333333333,1.0,0.4230769230769231,0.0,0.5925925925925926,0.0,27,1
race,Hispanic,0.0,0.9285714285714286,0.2777777777777778,1.0,0.6842105263157895,0.2,19,2
race,Hispanic,0.2222222222222222,1.0,0.25925925925925924,0.0,0.7586206896551724,0.0,29,3
race,Hispanic,0.08333333333333333,1.0,0.4074074074074074,0.0,0.6071428571428571,0.0,28,4
race,Other,0.2222222222222222,0.9285714285714286,0.35,0.3333333333333333,0.6521739130434783,0.14285714285714285,23,0
race,Other,0.0,1.0,0.5,0.0,0.5,0.0,14,1
race,Other,0.0,1.0,0.3684210526315789,0.0,0.631578947368421,0.0,19,2
race,Other,0.0,0.9333333333333333,0.17647058823529413,1.0,0.7777777777777778,0.3333333333333333,18,3
race,Other,0.0,1.0,0.2857142857142857,0.0,0.7142857142857143,0.0,28,4
sex,female,0.13333333333333333,0.9705882352941176,0.2826086956521739,0.3333333333333333,0.7142857142857143,0.07692307692307693,49,0
sex,female,0.125,0.9444444444444444,0.2916666666666667,0.5,0.6923076923076923,0.14285714285714285,52,1
sex,female,0.05,0.96875,0.38,0.5,0.6153846153846154,0.05263157894736842,52,2
sex,female,0.15384615384615385,0.9666666666666667,0.275,0.3333333333333333,0.7209302325581395,0.09090909090909091,43,3
sex,female,0.0,0.9166666666666666,0.36538461538461536,1.0,0.6,0.15789473684210525,55,4
sex,male,0.08666666666666667,0.9166666666666666,0.43769968051118213,0.5517241379310345,0.5526315789473685,0.11678832116788321,342,0
sex,male,0.13548387096774195,0.9510869565217391,0.4336569579288026,0.3,0.5781710914454278,0.06716417910447761,339,1
sex,male,0.1111111111111111,0.9265536723163842,0.4675324675324675,0.41935483870967744,0.5368731563421829,0.09027777777777778,339,2
sex,male,0.10191082802547771,0.9057591623036649,0.44904458598726116,0.5294117647058824,0.5431034482758621,0.1276595744680851,348,3
sex,male,0.12962962962962962,0.9190751445086706,0.47,0.4,0.5373134328358209,0.09929078014184398,335,4
