Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.7818181818181819,0.0,1.0,0.7818181818181819,inf,220,0
race,African-American,0,0.7488789237668162,0.0,1.0,0.7488789237668162,inf,223,1
race,African-American,0,0.7702702702702703,0.0,1.0,0.7702702702702703,inf,222,2
race,African-American,0,0.7589285714285714,0.0,1.0,0.7589285714285714,inf,224,3
race,African-American,0,0.7531914893617021,0.0,1.0,0.7531914893617021,inf,235,4
race,Caucasian,0,0.7903225806451613,0.0,1.0,0.7903225806451613,inf,124,0
race,Caucasian,0,0.8346456692913385,0.0,1.0,0.8346456692913385,inf,127,1
race,Caucasian,0,0.8244274809160306,0.0,1.0,0.8244274809160306,inf,131,2
race,Caucasian,0,0.7666666666666667,0.0,1.0,0.7666666666666667,inf,120,3
race,Caucasian,0,0.7272727272727273,0.0,1.0,0.7272727272727273,inf,99,4
race,Hispanic,0,0.9583333333333334,0.0,1.0,0.9583333333333334,inf,24,0
race,Hispanic,0,0.8148148148148148,0.0,1.0,0.8148148148148148,inf,27,1
race,Hispanic,0,0.7894736842105263,0.0,1.0,0.7894736842105263,inf,19,2
race,Hispanic,0,0.896551724137931,0.0,1.0,0.896551724137931,inf,29,3
race,Hispanic,0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
race,Other,0,0.8695652173913043,0.0,1.0,0.8695652173913043,inf,23,0
race,Other,0,0.7857142857142857,0.0,1.0,0.7857142857142857,inf,14,1
race,Other,0,0.7368421052631579,0.0,1.0,0.7368421052631579,inf,19,2
race,Other,0,0.8333333333333334,0.0,1.0,0.8333333333333334,inf,18,3
race,Other,0,0.8571428571428571,0.0,1.0,0.8571428571428571,inf,28,4
sex,female,0,0.8979591836734694,0.0,1.0,0.8979591836734694,inf,49,0
sex,female,0,0.8269230769230769,0.0,1.0,0.8269230769230769,inf,52,1
sex,female,0,0.8653846153846154,0.0,1.0,0.8653846153846154,inf,52,2
sex,female,0,0.8372093023255814,0.0,1.0,0.8372093023255814,inf,43,3
sex,female,0,0.7454545454545455,0.0,1.0,0.7454545454545455,inf,55,4
sex,male,0,0.7865497076023392,0.0,1.0,0.7865497076023392,inf,342,0
sex,male,0,0.775811209439528,0.0,1.0,0.775811209439528,inf,339,1
sex,male,0,0.775811209439528,0.0,1.0,0.775811209439528,inf,339,2
sex,male,0,0.7672413793103449,0.0,1.0,0.7672413793103449,inf,348,3
sex,male,0,0.7701492537313432,0.0,1.0,0.7701492537313432,inf,335,4
