Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.2,0.8952380952380953,0.4946236559139785,0.3235294117647059,0.5318181818181819,0.11956521739130435,220,0
race,African-American,0.11711711711711711,0.8660714285714286,0.5025641025641026,0.5357142857142857,0.49327354260089684,0.15306122448979592,223,1
race,African-American,0.1504424778761062,0.926605504587156,0.4873096446700508,0.32,0.5315315315315315,0.08333333333333333,222,2
race,African-American,0.20155038759689922,0.9052631578947369,0.544973544973545,0.2571428571428571,0.5,0.08737864077669903,224,3
race,African-American,0.13793103448275862,0.8487394957983193,0.4975124378109453,0.5294117647058824,0.4978723404255319,0.18,235,4
race,Caucasian,0.10256410256410256,0.9058823529411765,0.3125,0.6666666666666666,0.6532258064516129,0.22857142857142856,124,0
race,Caucasian,0.06976744186046512,0.9166666666666666,0.3418803418803419,0.7,0.6299212598425197,0.175,127,1
race,Caucasian,0.14893617021276595,0.8928571428571429,0.34782608695652173,0.5625,0.6259541984732825,0.225,131,2
race,Caucasian,0.10256410256410256,0.8765432098765432,0.330188679245283,0.7142857142857143,0.625,0.2857142857142857,120,3
race,Caucasian,0.1956521739130435,0.9056603773584906,0.43529411764705883,0.35714285714285715,0.5757575757575758,0.13513513513513514,99,4
race,Hispanic,0.0,0.9473684210526315,0.21739130434782608,1.0,0.75,0.2,24,0
race,Hispanic,0.2222222222222222,0.8888888888888888,0.30434782608695654,0.5,0.6666666666666666,0.2857142857142857,27,1
race,Hispanic,0.2857142857142857,0.9166666666666666,0.3125,0.3333333333333333,0.6842105263157895,0.2,19,2
race,Hispanic,0.07692307692307693,1.0,0.42857142857142855,0.0,0.5862068965517241,0.0,29,3
race,Hispanic,0.0,1.0,0.42857142857142855,0.0,0.5714285714285714,0.0,28,4
race,Other,0.09090909090909091,1.0,0.45454545454545453,0.0,0.5652173913043478,0.0,23,0
race,Other,0.25,1.0,0.5,0.0,0.5714285714285714,0.0,14,1
race,Other,0.25,0.8181818181818182,0.4,0.5,0.5789473684210527,0.3333333333333333,19,2
race,Other,0.25,1.0,0.375,0.0,0.6666666666666666,0.0,18,3
race,Other,0.15384615384615385,0.8,0.4782608695652174,0.6,0.5,0.2727272727272727,28,4
sex,female,0.058823529411764705,0.96875,0.3404255319148936,0.5,0.6530612244897959,0.0625,49,0
sex,female,0.09523809523809523,0.9032258064516129,0.40425531914893614,0.6,0.5769230769230769,0.15789473684210525,52,1
sex,female,0.1111111111111111,0.9117647058823529,0.3404255319148936,0.6,0.6346153846153846,0.1875,52,2
sex,female,0.14285714285714285,0.9310344827586207,0.3076923076923077,0.5,0.6744186046511628,0.16666666666666666,43,3
sex,female,0.2692307692307692,0.8620689655172413,0.4318181818181818,0.36363636363636365,0.5818181818181818,0.21052631578947367,55,4
sex,male,0.17647058823529413,0.8994708994708994,0.42567567567567566,0.41304347826086957,0.5760233918128655,0.15079365079365079,342,0
sex,male,0.12,0.8888888888888888,0.44,0.5384615384615384,0.5486725663716814,0.1590909090909091,339,1
sex,male,0.16560509554140126,0.9065934065934066,0.44256756756756754,0.3953488372093023,0.5634218289085545,0.1297709923664122,339,2
sex,male,0.17714285714285713,0.9017341040462428,0.48,0.3541666666666667,0.5373563218390804,0.11805555555555555,348,3
sex,male,0.12422360248447205,0.8735632183908046,0.4812286689419795,0.5238095238095238,0.5134328358208955,0.15602836879432624,335,4
