Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6571428571428571,0.5081081081081081,0.11320754716981132,0.7982456140350878,0.5318181818181819,7.583333333333333,220,0
race,African-American,0.6,0.5628415300546448,0.13445378151260504,0.7692307692307693,0.5695067264573991,5.0,223,1
race,African-American,0.6774193548387096,0.518324607329843,0.09174311926605505,0.8141592920353983,0.5405405405405406,9.2,222,2
race,African-American,0.6727272727272727,0.5384615384615384,0.1651376146788991,0.6782608695652174,0.5714285714285714,4.333333333333333,224,3
race,African-American,0.6739130434782609,0.5714285714285714,0.12195121951219512,0.7232142857142857,0.5914893617021276,5.4,235,4
race,Caucasian,0.4,0.6050420168067226,0.04,0.9591836734693877,0.5967741935483871,15.666666666666666,124,0
race,Caucasian,0.5,0.6581196581196581,0.06097560975609756,0.8888888888888888,0.6456692913385826,8.0,127,1
race,Caucasian,0.8571428571428571,0.5887096774193549,0.013513513513513514,0.8947368421052632,0.6030534351145038,51.0,131,2
race,Caucasian,0.8,0.5826086956521739,0.014705882352941176,0.9230769230769231,0.5916666666666667,48.0,120,3
race,Caucasian,0.7692307692307693,0.627906976744186,0.05263157894736842,0.7619047619047619,0.6464646464646465,10.666666666666666,99,4
race,Hispanic,0.0,0.782608695652174,0.05263157894736842,1.0,0.75,5.0,24,0
race,Hispanic,0.0,0.6296296296296297,0.0,1.0,0.6296296296296297,inf,27,1
race,Hispanic,1.0,0.5,0.0,0.9,0.5263157894736842,inf,19,2
race,Hispanic,0.5,0.76,0.09523809523809523,0.75,0.7241379310344828,3.0,29,3
race,Hispanic,0.6666666666666666,0.68,0.05555555555555555,0.8,0.6785714285714286,8.0,28,4
race,Other,0.5,0.6190476190476191,0.07142857142857142,0.8888888888888888,0.6086956521739131,8.0,23,0
race,Other,1.0,0.75,0.0,0.6,0.7857142857142857,inf,14,1
race,Other,0.0,0.3888888888888889,0.125,1.0,0.3684210526315789,11.0,19,2
race,Other,0.5,0.4375,0.125,0.9,0.4444444444444444,9.0,18,3
race,Other,0.75,0.7916666666666666,0.05,0.625,0.7857142857142857,5.0,28,4
sex,female,0.6666666666666666,0.6521739130434783,0.03225806451612903,0.8888888888888888,0.6530612244897959,16.0,49,0
sex,female,0.5555555555555556,0.7674418604651163,0.10810810810810811,0.6666666666666666,0.7307692307692307,2.5,52,1
sex,female,0.8,0.6595744680851063,0.03125,0.8,0.6730769230769231,16.0,52,2
sex,female,0.6,0.7105263157894737,0.06896551724137931,0.7857142857142857,0.6976744186046512,5.5,43,3
sex,female,1.0,0.673469387755102,0.0,0.7272727272727273,0.7090909090909091,inf,55,4
sex,male,0.6,0.5529801324503312,0.08743169398907104,0.8490566037735849,0.5584795321637427,8.4375,342,0
sex,male,0.6046511627906976,0.5844594594594594,0.08947368421052632,0.825503355704698,0.5870206489675516,7.235294117647059,339,1
sex,male,0.6857142857142857,0.5164473684210527,0.06547619047619048,0.8596491228070176,0.5339233038348082,13.363636363636363,339,2
sex,male,0.6721311475409836,0.5470383275261324,0.11299435028248588,0.7602339181286549,0.5689655172413793,6.5,348,3
sex,male,0.6666666666666666,0.6,0.10810810810810811,0.7333333333333333,0.6119402985074627,5.5,335,4
