Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.3333333333333333,0.6869158878504673,0.026490066225165563,0.9710144927536232,0.6772727272727272,16.75,220,0
race,African-American,0.375,0.7348837209302326,0.03067484662576687,0.95,0.7219730941704036,11.4,223,1
race,African-American,0.42857142857142855,0.7209302325581395,0.025157232704402517,0.9523809523809523,0.7117117117117117,15.0,222,2
race,African-American,0.6666666666666666,0.6832579185520362,0.006578947368421052,0.9722222222222222,0.6830357142857143,70.0,224,3
race,African-American,0.45454545454545453,0.7321428571428571,0.03529411764705882,0.9230769230769231,0.7191489361702128,10.0,235,4
race,Caucasian,0.0,0.7741935483870968,0.0,1.0,0.7741935483870968,inf,124,0
race,Caucasian,0.75,0.7967479674796748,0.010101010101010102,0.8928571428571429,0.7952755905511811,25.0,127,1
race,Caucasian,0.0,0.7131782945736435,0.02127659574468085,1.0,0.7022900763358778,18.5,131,2
race,Caucasian,0.0,0.7563025210084033,0.01098901098901099,1.0,0.75,29.0,120,3
race,Caucasian,0.0,0.71875,0.041666666666666664,1.0,0.696969696969697,9.0,99,4
race,Hispanic,0.0,0.7916666666666666,0.0,1.0,0.7916666666666666,inf,24,0
race,Hispanic,0.0,0.7777777777777778,0.0,1.0,0.7777777777777778,inf,27,1
race,Hispanic,0.0,0.7894736842105263,0.0,1.0,0.7894736842105263,inf,19,2
race,Hispanic,0.0,0.7857142857142857,0.043478260869565216,1.0,0.7586206896551724,6.0,29,3
race,Hispanic,0.0,0.7857142857142857,0.0,1.0,0.7857142857142857,inf,28,4
race,Other,0.0,0.8695652173913043,0.0,1.0,0.8695652173913043,inf,23,0
race,Other,1.0,0.7692307692307693,0.0,0.75,0.7857142857142857,inf,14,1
race,Other,0.0,0.5789473684210527,0.0,1.0,0.5789473684210527,inf,19,2
race,Other,1.0,0.7058823529411765,0.0,0.8333333333333334,0.7222222222222222,inf,18,3
race,Other,0.6666666666666666,0.84,0.045454545454545456,0.6666666666666666,0.8214285714285714,4.0,28,4
sex,female,0.0,0.75,0.02702702702702703,1.0,0.7346938775510204,12.0,49,0
sex,female,0.6666666666666666,0.8163265306122449,0.024390243902439025,0.8181818181818182,0.8076923076923077,9.0,52,1
sex,female,0.0,0.7884615384615384,0.0,1.0,0.7884615384615384,inf,52,2
sex,female,0.0,0.8095238095238095,0.02857142857142857,1.0,0.7906976744186046,8.0,43,3
sex,female,1.0,0.7222222222222222,0.0,0.9375,0.7272727272727273,inf,55,4
sex,male,0.4,0.7299703264094956,0.012048192771084338,0.978494623655914,0.7251461988304093,30.333333333333332,342,0
sex,male,0.5,0.7507598784194529,0.01984126984126984,0.9425287356321839,0.7433628318584071,16.4,339,1
sex,male,0.3333333333333333,0.703030303030303,0.025210084033613446,0.9702970297029703,0.6932153392330384,16.333333333333332,339,2
sex,male,0.6,0.7026239067055393,0.00823045267489712,0.9714285714285714,0.7011494252873564,51.0,348,3
sex,male,0.375,0.7429467084639498,0.04048582995951417,0.9318181818181818,0.7253731343283583,8.2,335,4
