Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.35877862595419846,0.7191011235955056,0.5675675675675675,0.3472222222222222,0.5045454545454545,0.2976190476190476,220,0
race,African-American,0.31896551724137934,0.794392523364486,0.4817073170731707,0.3728813559322034,0.547085201793722,0.27848101265822783,223,1
race,African-American,0.3474576271186441,0.7980769230769231,0.48125,0.3387096774193548,0.5585585585585585,0.2727272727272727,222,2
race,African-American,0.42424242424242425,0.8152173913043478,0.5033112582781457,0.2328767123287671,0.5848214285714286,0.2236842105263158,224,3
race,African-American,0.336283185840708,0.7950819672131147,0.436046511627907,0.3968253968253968,0.574468085106383,0.3333333333333333,235,4
race,Caucasian,0.26785714285714285,0.8088235294117647,0.4270833333333333,0.4642857142857143,0.5645161290322581,0.3170731707317073,124,0
race,Caucasian,0.3191489361702128,0.8625,0.31683168316831684,0.4230769230769231,0.6614173228346457,0.34375,127,1
race,Caucasian,0.41818181818181815,0.8026315789473685,0.34408602150537637,0.39473684210526316,0.6412213740458015,0.46875,131,2
race,Caucasian,0.30434782608695654,0.7837837837837838,0.35555555555555557,0.5333333333333333,0.6,0.5,120,3
race,Caucasian,0.35714285714285715,0.7605633802816901,0.25,0.6296296296296297,0.6464646464646465,0.9444444444444444,99,4
race,Hispanic,0.2,0.7857142857142857,0.42105263157894735,0.6,0.5416666666666666,0.375,24,0
race,Hispanic,0.3333333333333333,0.8333333333333334,0.2857142857142857,0.5,0.6666666666666666,0.5,27,1
race,Hispanic,0.2,0.7857142857142857,0.26666666666666666,0.75,0.631578947368421,0.75,19,2
race,Hispanic,0.4,1.0,0.391304347826087,0.0,0.6896551724137931,0.0,29,3
race,Hispanic,0.2857142857142857,0.8571428571428571,0.45454545454545453,0.3333333333333333,0.5714285714285714,0.2,28,4
race,Other,0.16666666666666666,0.9090909090909091,0.5,0.3333333333333333,0.5217391304347826,0.1,23,0
race,Other,0.4,0.7777777777777778,0.3,0.5,0.6428571428571429,0.6666666666666666,14,1
race,Other,0.5714285714285714,0.75,0.25,0.42857142857142855,0.6842105263157895,1.0,19,2
race,Other,0.5,0.8,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,18,3
race,Other,0.5,0.8888888888888888,0.23809523809523808,0.2857142857142857,0.75,0.4,28,4
sex,female,0.3181818181818182,0.8148148148148148,0.40540540540540543,0.4166666666666667,0.5918367346938775,0.3333333333333333,49,0
sex,female,0.2916666666666667,0.8571428571428571,0.4146341463414634,0.36363636363636365,0.5961538461538461,0.23529411764705882,52,1
sex,female,0.4,0.90625,0.2926829268292683,0.2727272727272727,0.7115384615384616,0.25,52,2
sex,female,0.35714285714285715,0.896551724137931,0.2571428571428571,0.375,0.7209302325581395,0.3333333333333333,43,3
sex,female,0.4117647058823529,0.7631578947368421,0.2564102564102564,0.5625,0.6545454545454545,0.9,55,4
sex,male,0.3155080213903743,0.7612903225806451,0.5203252032520326,0.3854166666666667,0.5175438596491229,0.2890625,342,0
sex,male,0.32679738562091504,0.8172043010752689,0.403921568627451,0.40476190476190477,0.5958702064896755,0.3300970873786408,339,1
sex,male,0.3696969696969697,0.7758620689655172,0.4351464435146444,0.39,0.5781710914454278,0.375,339,2
sex,male,0.40106951871657753,0.8012422360248447,0.46473029045643155,0.29906542056074764,0.5862068965517241,0.2857142857142857,348,3
sex,male,0.33783783783783783,0.8021390374331551,0.3951612903225806,0.42528735632183906,0.5970149253731343,0.37755102040816324,335,4
